CATID,RA_OBJ,DEC_OBJ,z_spec,PA_GASKIN,PA_GASKIN_ERR,LAMBDAR_RE,n_src_1p,n_src_2p,n_src_3p,n_src_5p,n_src_10p,n_src_15p,n_clean_1p,n_clean_2p,n_clean_3p,n_clean_5p,n_clean_10p,n_clean_15p
216401,138.02436975,0.44889187,0.05446,65.5,0.25,0.23649324,19,56,82,260,1391,3220,19,56,81,258,1194,2531
600916,138.02881498,0.33686043,0.05379,1.0,0.16666667,0.62247664,33,103,197,406,1474,3128,31,101,195,402,1328,2625
324963,138.03057081,1.9120471,0.0589,80.0,0.16666667,0.52335835,19,72,143,361,1463,3186,8,32,70,200,1145,2687
623272,138.03333831,0.78489864,0.03918,3.0,0.16666667,0.48294678,14,64,155,473,2034,4494,0,0,27,225,1532,3818
600929,138.06173143,0.31179163,0.05349,307.5,0.16666667,0.07909673,21,103,219,474,1517,3332,21,101,215,465,1397,2707
600973,138.11366903,0.30372017,0.05403,149.5,0.41666666,0.09029569,5,76,181,466,1414,3559,5,75,179,455,1270,2841
600974,138.11825958,0.2462879,0.05452,298.0,0.16666667,0.30063197,26,101,187,484,1735,3860,26,100,186,472,1637,3046
325001,138.13322613,1.83494442,0.0554,73.0,0.33333334,nan,19,78,158,374,1352,2979,16,74,152,362,1203,2475
600977,138.15123729,0.30950285,0.05446,154.0,0.16666667,0.33761874,2,42,125,373,1486,3649,2,38,119,340,1174,2858
3913888,138.16089989,-0.86961375,0.08133,101.5,0.16666667,nan,0,28,106,314,1750,4489,0,28,105,306,1612,4018
347522,138.16365905,2.21735193,0.05596,306.5,1.1666666,0.69259185,16,67,152,362,1307,3137,16,66,149,356,1283,2760
347570,138.18658947,2.3212965,0.05073,338.5,0.16666667,nan,0,7,45,189,1221,3153,0,7,44,187,1066,2736
3632384,138.18847704,-0.98934878,0.02712,61.0,0.16666667,nan,21,106,228,594,2217,4388,18,97,218,575,1802,3660
347571,138.2035197,2.20800582,0.05673,113.0,0.16666667,0.4413591,18,70,157,386,1258,2998,17,69,155,381,1237,2717
382731,138.20428397,1.97904504,0.05559,154.5,0.16666667,0.7197917,4,24,61,228,1233,3150,4,17,41,146,1006,2736
210375,138.22591716,0.09076451,0.05445,333.0,0.25,0.24599561,22,105,204,591,2036,4291,20,101,194,563,1691,3535
518829,138.22947896,2.93087801,0.03843,307.5,0.41666666,0.24083294,5,24,51,140,752,1473,5,24,51,137,735,1444
377597,138.23901135,1.667577,0.05527,67.5,0.25,0.645377,11,59,146,351,1383,3226,11,59,145,341,1147,2776
418971,138.25462834,2.72026094,0.0256,104.5,0.25,nan,16,49,123,407,1542,2973,16,49,119,394,1507,2848
382764,138.26744789,2.03871105,0.01261,145.0,0.16666667,nan,17,58,133,339,1276,3028,17,57,132,329,1140,2657
601013,138.28557299,0.23791485,0.05294,28.0,0.16666667,0.415966,14,79,193,431,1757,3867,0,12,83,260,1144,2960
518870,138.29628555,2.92020823,0.02628,264.5,0.16666667,nan,7,58,113,233,627,1499,7,58,111,228,609,1464
325007,138.31550302,1.86724656,0.05541,219.5,0.16666667,0.45504266,8,59,132,369,1251,3279,8,59,131,339,1041,2862
601018,138.34208727,0.26760372,0.05302,98.0,0.41666666,0.17663509,27,86,206,464,1559,3702,15,39,94,222,919,2627
204490,138.39181624,-0.25265533,0.07023,95.5,0.6666667,0.1675939,28,105,185,528,1631,3696,10,44,88,334,1310,3287
575097,138.47469528,-0.04402759,0.05498,223.5,0.41666666,0.4567709,2,61,149,382,1695,4109,2,60,146,372,1629,3607
210467,138.48371402,0.05958424,0.09256,17.5,3.9166667,0.07078664,21,72,148,462,1786,3811,21,71,147,455,1557,3237
377666,138.490011,1.66014216,0.05548,13.5,0.16666667,0.4127892,0,0,19,182,1453,3649,0,0,19,180,1259,3255
623366,138.54711076,0.8182101,0.05509,203.0,0.16666667,0.5065782,5,86,191,497,1822,4139,5,85,190,495,1692,3634
601102,138.57992351,0.38487442,0.0528,309.0,0.16666667,0.43581,18,60,116,317,1462,3552,4,25,55,231,1009,2459
601105,138.60367266,0.3630371,0.08795,311.5,0.16666667,nan,0,13,34,226,1467,3537,0,2,15,154,886,2475
377710,138.64709652,1.5626519,0.05531,343.0,0.16666667,nan,7,64,170,500,1600,3369,7,63,168,492,1562,3107
210567,138.74413523,0.20803275,0.05744,242.5,0.41666666,nan,18,64,146,457,1750,3568,0,16,72,281,1242,2810
302657,138.76168671,1.44525246,0.05458,297.5,0.16666667,nan,16,94,175,403,1664,3461,13,64,114,299,1408,3112
302684,138.81099817,1.51066334,0.0547,15.5,0.25,0.15765864,19,50,118,303,1428,3284,19,50,115,271,1200,2909
601210,138.89056126,0.3173079,0.06937,96.5,0.25,0.1646924,20,82,171,413,1707,4044,20,82,171,412,1545,3348
210611,138.9173284,0.18556544,0.07037,265.5,0.8333333,0.19281144,20,72,162,500,1889,4014,20,71,161,492,1824,3487
388146,138.9338166,2.44407971,0.09104,170.5,0.41666666,0.11043803,33,94,225,547,1733,3885,33,94,224,507,1385,2914
365316,138.99594748,2.60012522,0.02769,165.0,0.25,nan,14,44,108,367,1872,4457,14,44,106,306,1541,4062
601255,139.03809283,0.2965282,0.05662,352.0,0.16666667,0.6396412,8,64,143,474,1928,4226,5,38,87,329,1607,3729
198343,139.04118585,-0.68882379,0.05207,5.5,0.16666667,0.19610743,4,42,80,246,1269,3356,3,28,53,142,957,2647
623432,139.05733185,0.70065425,0.03808,271.0,0.16666667,0.54020995,0,42,117,333,1132,3070,0,42,117,325,981,2597
388200,139.1442224,2.56819681,0.05451,160.0,0.16666667,0.5792616,29,101,234,661,2158,4378,28,100,233,631,1857,3838
419205,139.154221,2.77309701,0.02579,113.5,11.5,nan,18,90,224,645,2163,4509,17,89,223,639,2137,4354
210660,139.17574828,0.20556211,0.01682,326.0,0.16666667,0.45800155,24,97,204,490,1937,3903,24,97,199,409,1487,3372
216670,139.20847361,0.57271457,0.02844,266.0,0.16666667,0.64269894,1,19,66,257,1105,2545,0,18,63,253,1077,2352
601283,139.23478732,0.28596923,0.05631,271.5,0.16666667,0.14987963,22,85,164,456,1557,3529,0,22,72,266,1101,2891
218681,139.25054316,0.84407294,0.03801,233.0,0.16666667,0.61186624,23,51,106,306,1322,2929,12,27,65,212,966,2358
551192,139.33881791,-0.45421294,0.01691,253.5,1.8333334,nan,17,92,203,539,2044,4038,17,87,195,522,1929,3555
601323,139.3414636,0.32191469,0.05403,144.0,0.16666667,0.3841294,12,41,69,161,1113,3017,12,33,53,105,738,2405
519089,139.35295173,2.87669046,0.0256,44.0,0.16666667,nan,14,81,210,564,1906,3219,13,78,204,551,1871,3163
373105,139.35743184,1.28833283,0.05555,340.5,0.16666667,0.26107264,35,122,262,630,2075,4517,34,121,236,497,1647,3984
377892,139.37031317,1.58748926,0.03748,268.5,0.16666667,nan,26,79,177,448,1972,4721,26,78,176,442,1819,4112
551202,139.37082018,-0.62058503,0.01647,112.0,0.16666667,0.671135,23,92,184,516,1755,3864,23,92,184,512,1706,3768
302810,139.43115375,1.49239147,0.05358,255.5,0.16666667,0.79007584,37,102,211,612,2171,4632,37,101,209,606,1936,3899
279818,139.43876422,1.05542467,0.02727,19.5,0.16666667,nan,9,55,126,387,1532,3748,9,54,124,375,1466,3399
3634556,139.44677894,-0.98589449,0.06976,190.0,1.4166666,nan,14,95,208,531,2079,4353,14,94,203,516,1826,3517
204799,139.4616861,-0.27847945,0.01737,46.5,0.16666667,0.63646746,0,2,58,308,1448,3619,0,2,57,302,1421,3126
575339,139.48490435,-0.10136639,0.05759,306.5,0.16666667,0.04830486,0,15,46,217,1191,3435,0,0,3,109,972,2856
601395,139.5685111,0.38503294,0.01708,340.5,1.5833334,nan,0,0,13,318,1477,3038,0,0,13,297,1213,2379
383033,139.59121212,2.17020499,0.02749,309.5,0.33333334,nan,25,92,217,617,2339,4630,25,80,165,373,1738,3760
302846,139.64139357,1.34375941,0.02727,7.5,0.16666667,0.5808649,16,82,189,545,2100,4545,15,77,179,529,1962,4090
210781,139.64823938,0.05988045,0.05542,270.5,0.16666667,0.5356802,19,91,222,583,2061,3978,18,70,154,362,1377,2770
204832,139.65673704,-0.31597758,0.05523,238.0,0.41666666,0.14581254,21,86,163,458,1757,3689,21,85,159,451,1502,2959
279840,139.6586771,1.05694706,0.08669,236.0,0.25,0.5695231,23,99,202,520,1838,3938,21,96,196,505,1793,3833
419294,139.67800005,2.69147018,0.08578,346.5,0.16666667,0.36304015,16,78,151,411,1533,3850,16,78,139,343,1247,3211
204836,139.69277391,-0.22136233,0.05545,33.5,0.16666667,nan,18,113,208,446,1738,3719,10,82,146,314,1389,2906
279891,139.70831258,1.02299675,0.02381,148.0,0.16666667,nan,12,70,170,506,1674,3772,12,67,166,495,1626,3592
365334,139.70918857,2.63766092,0.05665,290.0,0.5,0.26277858,11,57,145,467,1665,3746,11,57,143,414,1252,2995
623620,139.71219156,0.63996425,0.05668,178.0,0.16666667,0.62017715,31,110,214,586,2264,4328,31,109,210,536,1994,3777
373163,139.71577409,1.24279017,0.08759,166.0,0.75,0.07634094,22,75,147,463,2120,4614,22,73,141,447,1959,4224
419299,139.72273048,2.79427487,0.02546,358.0,0.16666667,nan,5,43,105,339,1803,3649,0,1,38,215,1502,2984
519141,139.73967597,2.93965013,0.08591,25.5,0.5,0.19617528,27,98,193,479,1362,2516,27,96,189,470,1182,2164
373168,139.74080772,1.1489271,0.08779,214.0,0.16666667,0.07221103,15,92,210,563,2034,3943,15,92,210,545,1957,3642
377962,139.7422809,1.56468554,0.03732,46.0,0.25,nan,0,12,49,207,1960,4963,0,12,48,204,1786,4297
419334,139.75620189,2.70246532,0.0546,253.5,0.16666667,0.7250161,18,79,169,389,1511,3872,17,59,127,271,988,3120
419335,139.75686615,2.75729364,0.05638,359.0,2.75,0.35382456,0,15,50,278,1721,3795,0,0,15,153,1255,3057
210808,139.75689434,0.17251983,0.01748,32.5,0.16666667,nan,19,72,178,524,1940,4000,6,30,90,286,1224,2961
198503,139.76574962,-0.81766194,0.01664,197.0,0.16666667,nan,14,59,125,316,1226,3643,14,57,123,311,1149,3022
373173,139.76734716,1.17936637,0.08916,66.0,0.25,0.46338287,23,94,203,529,2023,4001,23,93,195,508,1860,3695
623641,139.77630112,0.67763715,0.0178,33.0,1.0833334,nan,19,94,219,637,2234,4357,17,83,205,613,2028,3823
279886,139.79332232,1.05546284,0.01827,29.0,0.41666666,nan,20,73,173,484,1579,3400,20,70,165,462,1531,3092
325321,139.81121168,1.78031234,0.08761,195.0,0.25,0.51457834,30,111,256,765,2707,4967,0,15,102,437,2307,4244
279878,139.81814651,1.03629872,0.08734,19.5,0.16666667,0.09192488,9,77,163,378,1416,3348,9,73,155,360,1374,3020
204868,139.84669827,-0.21330282,0.0386,309.5,0.16666667,nan,29,69,162,340,1607,3916,28,68,159,305,1319,3137
419345,139.85181914,2.70691827,0.03669,67.0,2.8333333,0.43192217,21,67,142,339,1552,3752,19,42,72,146,1028,2957
388390,139.85238872,2.57462744,0.05632,70.5,0.16666667,0.34197664,19,84,190,505,1956,4050,6,16,42,202,1432,3320
279910,139.85523047,1.05979042,0.08685,183.5,13.5,0.06189084,18,93,161,394,1265,3337,17,91,153,377,1223,2974
204876,139.88435455,-0.41006993,0.03869,144.5,0.33333334,nan,11,58,154,408,1713,3723,11,58,142,300,1262,3230
204877,139.88496524,-0.29992712,0.05412,169.5,1.5,0.16975304,9,49,110,396,1468,3824,0,0,13,200,1173,3239
551332,139.89952321,-0.45187633,0.05627,194.5,0.33333334,0.3862817,14,57,126,416,1777,3724,14,57,126,386,1366,3229
383130,139.90810375,2.1309889,0.02795,2.5,0.75,nan,13,67,134,361,1855,4395,13,67,134,355,1773,3947
204906,139.92064701,-0.36425945,0.05491,161.5,1.75,0.042422827,19,84,160,394,1532,3764,17,68,123,285,1199,3264
373202,139.92557866,1.32583201,0.01654,107.5,0.16666667,0.4781764,22,51,108,399,1678,3991,7,23,53,254,1222,3437
388424,139.94923008,2.52869101,0.08844,248.0,0.16666667,0.35586458,14,104,230,589,1945,4243,14,103,223,501,1547,3569
551350,139.97991849,-0.59132666,0.02882,208.5,0.16666667,nan,30,63,100,291,1541,3783,27,60,97,283,1503,3268
279905,139.97994268,0.94514506,0.01768,145.0,0.5,0.45129344,8,22,72,217,1099,2902,8,20,65,207,856,2427
623679,139.98309553,0.64128869,0.05641,114.5,0.16666667,0.52799237,10,55,119,355,1403,3585,10,55,114,348,1365,3115
218717,139.99074404,0.84559286,0.01714,279.5,0.16666667,nan,19,83,203,440,1242,3036,19,83,198,345,822,2565
279917,139.99533336,0.96083571,0.01792,323.0,0.25,nan,1,11,36,153,1158,2858,1,11,30,146,960,2380
279932,140.00904514,1.03829461,0.01703,3.0,4.6666646,0.08510358,0,2,41,225,1111,3093,0,2,40,221,1073,2738
218713,140.0100024,0.84420718,0.05848,53.0,0.16666667,nan,16,82,187,385,1253,3026,16,75,159,307,871,2560
551368,140.01779439,-0.5024815,0.02573,238.0,1.5,nan,22,68,153,434,1623,3709,22,64,148,426,1558,3082
325378,140.02680329,1.96881438,0.085,302.0,0.75,nan,3,27,85,368,1761,4125,3,25,73,272,1455,3772
373248,140.0523286,1.15231833,0.01699,340.5,0.5,nan,25,62,132,408,1581,3390,25,61,129,380,1534,3167
325390,140.06483517,1.78792026,0.01694,202.0,0.25,nan,8,50,131,403,1992,4591,8,49,130,393,1921,4097
373237,140.06504413,1.28882374,0.01749,294.0,0.16666667,0.4430156,5,67,146,480,1526,3453,5,67,146,460,1401,2923
383147,140.07791018,2.18366672,0.089,209.5,0.33333334,0.10218855,14,84,221,604,1965,3851,14,84,218,597,1784,3370
302973,140.08648012444442,1.4100473,0.02651,109.5,0.16666667,nan,0,10,62,211,1399,3941,0,10,59,202,1175,3490
348048,140.09045935,2.30742962,0.08593,217.5,0.25,0.40222847,25,118,224,515,2016,4408,24,101,178,423,1800,4000
623726,140.09157464,0.82339506,0.01786,25.5,0.16666667,nan,7,45,143,342,1326,3234,0,0,0,139,1094,2760
325376,140.12389715222224,1.84816377,0.01682,347.0,0.16666667,nan,14,59,147,433,1712,4167,14,58,144,423,1605,3811
279943,140.13109644,0.93702459,0.01844,254.0,0.16666667,nan,24,71,124,283,1241,3137,24,71,124,253,1020,2728
623712,140.13867311,0.72105987,0.01727,106.0,1.9166666,nan,10,46,117,386,1520,3367,10,44,115,359,1268,2807
302994,140.14321141,1.55109987,0.01666,226.5,0.6666667,nan,12,93,204,530,1754,4105,12,92,201,518,1701,3775
623722,140.15506294,0.82273186,0.01782,70.5,0.41666666,nan,26,95,204,395,1348,3453,17,47,113,243,1127,2945
198591,140.15618821,-0.67946043,0.01164,63.5,0.25,0.57372606,4,63,177,417,1302,2776,0,0,22,199,819,2178
388451,140.1676866,2.45193049,0.01214,229.5,1.0,nan,22,71,152,475,1996,4473,22,68,149,444,1670,3906
216843,140.19242092,0.60472036,0.02382,44.0,0.16666667,nan,14,81,189,452,1614,3536,14,65,166,422,1457,2829
198631,140.21921598,-0.767935,0.0557,25.5,0.16666667,0.26209188,9,59,88,212,956,2545,0,8,19,62,587,1978
388476,140.24064435,2.53435439,0.05651,277.5,0.33333334,0.22851966,18,79,180,558,2140,4454,18,78,173,471,1787,3595
348115,140.2860033,2.33393497,0.08905,90.5,1.0833334,0.39656773,13,92,209,461,1841,4305,13,91,206,454,1514,3417
210909,140.28625634,0.08058047,0.02356,282.0,0.75,nan,16,72,160,426,1347,3198,0,0,14,212,1030,2687
348116,140.29344703,2.20123436,0.05041,337.5,0.33333334,0.5918726,1,23,72,337,1748,4350,1,23,71,333,1642,3772
204983,140.30728014,-0.23044183,0.05494,323.0,0.16666667,0.4991032,0,9,54,245,1685,4124,0,8,51,238,1572,3393
348118,140.33783655,2.22647764,0.08875,28.0,0.16666667,0.6614172,0,0,2,307,1895,4466,0,0,2,302,1650,3753
373284,140.34916996,1.1761123,0.05855,213.5,0.33333334,0.39813346,9,40,100,361,1471,3519,9,39,96,344,1335,3234
575532,140.35453114,-0.06211584,0.08776,211.5,0.16666667,0.33596638,25,62,120,363,1677,3753,25,62,115,349,1435,3163
205020,140.37272684,-0.26887538,0.02572,86.5,0.75,0.18581837,14,92,234,551,2023,3940,14,90,228,532,1625,3269
378060,140.38950044,1.58461783,0.01654,355.5,1.3333334,nan,6,47,171,578,2083,3866,6,45,165,562,2025,3761
388513,140.39026904,2.58450829,0.08406,117.5,0.5833333,0.25742525,15,71,164,424,1892,4560,15,52,124,289,1395,3717
325441,140.40745486,1.86072568,0.02561,314.5,0.16666667,nan,0,30,98,239,1392,3266,0,29,96,231,1304,3019
514212,140.43013169,2.69086086,0.0246,294.5,0.16666667,0.44503102,20,59,142,441,1905,4575,19,57,134,420,1607,3411
419549,140.48249803,2.76965667,0.08419,319.5,0.16666667,0.59672415,18,103,213,565,1965,4141,18,99,208,557,1713,3266
514214,140.48495777,2.6922939,0.08611,215.5,9.416667,0.12003782,2,35,133,437,1785,4412,2,33,126,424,1632,3313
551488,140.49162393,-0.59645587,0.05614,248.0,0.41666666,0.5095328,3,73,201,595,2032,3919,3,72,199,590,1898,3064
388552,140.50356631,2.58787147,0.08582,185.0,0.33333334,0.42307588,0,49,123,387,1713,4321,0,49,119,318,1388,3342
514218,140.51298619,2.6938978,0.0849,40.5,0.25,0.3339168,15,67,145,415,1759,4344,15,65,142,406,1633,3263
325467,140.51652233,1.98864567,0.08522,305.0,0.16666667,0.20098932,11,38,92,233,1142,3439,0,1,22,88,955,3113
205089,140.55532449,-0.36339142,0.05697,321.0,6.5,nan,21,60,117,356,2080,4464,19,54,106,295,1434,3104
551505,140.57221887,-0.54692706,0.05627,130.5,0.33333334,0.32023188,24,101,218,645,2122,4348,24,100,217,632,1804,3345
575579,140.57272926,-0.1925925,0.05298,257.5,0.16666667,nan,10,49,108,331,1915,4358,0,0,21,172,1517,3546
388558,140.59260432666667,2.58592295,0.08762,241.5,2.1666667,nan,17,64,132,363,1780,4146,16,63,129,317,1340,3212
551507,140.59439617,-0.488805,0.0879,95.0,0.16666667,0.6866184,11,71,186,477,1990,4546,11,68,169,393,1524,3383
378104,140.61697275,1.67359449,0.0851,17.0,0.16666667,0.14878023,3,43,92,288,1389,2966,3,42,89,283,1366,2777
527984,140.62888732,-0.85951686,0.05499,192.0,0.41666666,0.3641639,21,74,195,441,1631,3732,4,15,55,136,946,2812
663440,140.6379418,-0.97045501,0.02307,204.0,4.5,0.07627456,4,50,128,405,1544,3771,4,47,85,204,1010,2901
205097,140.64299971,-0.39183912,0.05566,89.0,0.16666667,0.5440642,16,59,119,330,1754,4613,0,8,38,116,1084,3316
205086,140.65136375,-0.40676229,0.05551,85.0,0.16666667,nan,1,45,121,349,1721,4586,0,0,13,115,1069,3342
205085,140.65238835,-0.40903205,0.05405,210.0,3.0833333,nan,2,44,130,356,1719,4594,0,0,6,121,1067,3354
383259,140.67040862,2.11154316,0.05715,290.0,0.16666667,0.19595931,34,121,226,588,1610,3366,33,115,217,560,1503,2797
205161,140.68724345,-0.3488322,0.05825,347.5,0.16666667,0.23578532,1,43,137,433,1748,4333,1,26,62,158,1062,3204
205166,140.7075337,-0.27456318,0.055,229.5,0.16666667,0.42884967,13,68,146,484,1829,3986,0,0,10,244,1273,3001
575623,140.70824598,-0.15078249,0.02038,5.5,0.16666667,nan,27,88,174,513,1708,4469,27,87,172,483,1393,3804
205168,140.72565299,-0.34796012,0.05626,325.5,0.16666667,0.34161466,21,71,158,384,1860,4176,3,16,36,117,1196,3133
575625,140.73143347,-0.06198592,0.05468,82.0,0.16666667,0.53887594,12,53,106,360,2021,4709,12,53,104,356,1952,4251
419632,140.75063621,2.86863429,0.02484,18.5,0.5,nan,23,85,208,541,1617,3144,23,84,205,521,1336,2692
205151,140.77563215,-0.41382022,0.05481,17.5,0.25,nan,2,39,117,426,1852,4277,0,8,39,231,1203,3377
388603,140.78384409,2.4860729,0.01735,323.0,0.16666667,0.58249354,0,32,87,357,1716,3739,0,30,85,324,1314,2912
383283,140.8050953,2.06010258,0.0174,21.0,0.16666667,nan,25,105,198,442,1573,3388,25,98,189,424,1498,3142
198771,140.81531929,-0.72803109,0.01167,288.0,0.16666667,0.503802,0,0,25,269,1832,4555,0,0,25,259,1770,3998
551619,140.82468142,-0.56844663,0.05627,317.5,0.16666667,nan,12,59,151,464,1884,4301,12,58,150,436,1577,3687
303099,140.82788354,1.58310348,0.02605,274.5,0.16666667,0.4068496,1,34,88,340,1426,3130,0,18,53,238,1104,2573
205208,140.83517658,-0.39711103,0.0543,157.5,7.916664,nan,15,71,147,416,1901,4109,14,67,129,356,1497,3230
205211,140.84796086,-0.40347647,0.05361,84.5,0.25,0.105618,16,68,159,446,1898,4124,16,66,148,398,1564,3248
325533,140.92831948,2.0033603,0.05266,79.0,0.16666667,0.56715864,8,51,142,426,1688,3727,8,44,135,413,1640,3515
575670,140.93491239,-0.18723847,0.05601,355.5,0.16666667,0.5568674,23,89,207,503,2239,4588,23,89,204,492,2196,4303
551655,140.93632263,-0.57024632,0.05367,257.0,0.33333334,0.4546929,39,100,203,491,2116,4038,39,98,198,479,2076,3747
551656,140.93663605,-0.51795001,0.05616,101.0,0.33333334,0.21633372,7,55,166,505,1896,4065,7,54,161,495,1858,3700
378142,140.93967803,1.72187013,0.00553,162.0,0.16666667,nan,10,53,124,348,1523,3669,5,27,71,231,1238,3253
514260,140.94319276,2.75296862,0.01683,308.5,0.25,nan,2,18,57,312,1795,4159,2,16,44,236,1569,3501
383318,140.95008842,2.11274836,0.02398,344.0,0.16666667,0.30214176,18,77,152,371,1535,3772,15,73,148,354,1437,3477
198817,140.97498787,-0.68262729,0.05538,264.0,0.16666667,0.43518484,31,94,233,614,2124,4638,31,94,232,608,2089,4517
551672,140.97888792,-0.44919538,0.02456,124.0,0.16666667,nan,23,76,177,405,1722,3959,23,76,175,396,1688,3778
325536,140.98395594,1.83442423,0.05072,74.0,0.16666667,0.6503704,14,59,154,426,1625,3762,14,59,153,417,1478,3285
271385,174.11702391,1.30648916,0.07444,185.5,0.16666667,0.3867068,15,43,103,378,1737,3811,13,38,96,366,1713,3755
136232,174.12226814,-1.73555847,0.04752,122.5,0.16666667,0.2407411,0,26,67,203,971,2343,0,26,67,196,931,2005
271387,174.13639304,1.37981204,0.07502,230.0,1.25,0.1263084,13,68,186,455,1638,3951,13,67,184,449,1616,3901
6821,174.15315328,0.8154385533333334,0.00375,344.0,0.16666667,nan,1,43,141,453,1811,3983,0,8,56,249,1511,3360
396584,174.21783771,1.42771093,0.07356,117.0,0.16666667,0.43730652,4,45,127,381,1663,3950,4,43,124,378,1645,3894
271431,174.2196056,1.28150871,0.07426,60.5,0.33333334,0.27265975,16,66,134,374,1598,3878,16,66,134,371,1575,3818
136238,174.23137666,-1.74908943,0.04729,357.0,0.41666666,nan,0,19,71,238,1037,2526,0,19,71,235,918,2246
136240,174.24011468,-1.68477057,0.01937,329.5,2.0833333,nan,4,42,83,223,1138,2400,4,40,70,185,959,2139
143148,174.24378143,-1.39566123,0.02685,284.5,0.16666667,nan,13,50,119,326,1013,2415,13,50,119,317,911,2177
558861,174.25696862,-0.51196465,0.01936,96.5,0.5833333,nan,14,59,109,270,1071,2287,4,35,72,221,1000,2047
183932,174.27020677,-1.60977404,0.02165,290.0,0.5,nan,1,21,91,313,1127,2387,0,8,45,184,904,2112
396607,174.34762034,1.56164626,0.04606,272.5,0.16666667,0.53385663,13,89,199,566,1854,3796,13,84,192,555,1833,3557
534654,174.35287085,-0.96381693,0.05011,171.5,0.8333333,0.13373925,15,56,111,239,676,1555,8,46,99,218,626,1413
136263,174.3561013,-1.78732511,0.047,358.0,0.16666667,0.7200181,2,22,73,249,1104,2616,2,22,73,246,977,2332
396615,174.36234325,1.53514358,0.04572,288.5,0.25,0.44210288,17,83,175,507,1775,3890,17,80,169,496,1730,3666
534655,174.364431,-0.84656847,0.04644,283.5,3.0,0.078405924,0,20,57,190,660,1491,0,20,56,174,560,1341
558887,174.37404378,-0.47339514,0.02861,35.5,0.41666666,nan,20,56,125,295,937,2326,20,52,121,281,833,2054
396621,174.37934232,1.49011388,0.0462,119.5,1.3333334,0.31555602,15,78,170,443,1705,3974,14,77,167,435,1616,3783
271455,174.3861515,1.2808676,0.07644,190.0,0.16666667,0.4713071,15,62,157,432,1739,3793,14,61,154,427,1708,3685
21836,174.4099404,1.08658655,0.02036,7.5,0.5833333,nan,16,57,156,462,1786,4017,16,57,156,457,1764,3950
176868,174.43653426,-1.91050007,0.01935,50.5,0.16666667,nan,2,24,66,198,1158,2905,2,18,41,135,1077,2780
271481,174.45308346,1.27807558,0.11211,141.0,0.25,0.18545593,3,45,164,438,1779,3957,3,45,164,432,1717,3849
136308,174.49562792,-1.69464069,0.0788,54.5,0.75,nan,6,36,97,320,1294,2952,6,36,93,302,1194,2594
287692,174.50646892,1.70248176,0.07382,41.5,0.33333334,0.16570945,10,51,132,347,1579,3758,0,16,39,171,1355,3471
30346,174.63864908,-1.18449072,0.0208,34.0,0.16666667,0.73839545,2,58,130,395,1494,3152,0,5,43,230,1310,2886
184042,174.66401689,-1.53717485,0.07684,231.5,0.41666666,nan,2,53,148,417,1790,3636,0,25,84,272,1542,3315
271538,174.66458445,1.26476587,0.07634,266.5,0.16666667,0.04438694,5,53,125,387,1839,4037,4,52,123,385,1825,3944
396709,174.68771146,1.52958228,0.07801,145.0,0.9166667,0.14822182,10,59,145,408,1656,3542,10,57,125,339,1474,3132
184046,174.70806548,-1.45814613,0.07899,276.5,0.16666667,nan,11,58,153,445,1898,3759,11,58,149,387,1674,3381
534710,174.72129188,-0.94257797,0.02698,26.0,0.16666667,nan,20,67,144,387,1472,3122,20,67,144,386,1453,2861
271562,174.75468445,1.33656696,0.00534,170.5,0.16666667,nan,14,83,169,489,1603,3752,14,83,169,483,1571,3385
583427,174.76387764,-0.20600145,0.01809,131.5,0.16666667,0.6367603,3,53,157,419,1704,3860,0,0,32,199,1423,3158
30377,174.82286348,-1.07931466,0.02708,297.0,5.5833335,nan,17,56,143,399,1612,3543,17,53,140,392,1446,3016
30361,174.82596412,-1.13482494,0.07667,252.0,0.16666667,nan,4,68,149,392,1650,3782,4,67,145,384,1488,3204
143227,174.82896777,-1.33838523,0.04647,271.0,0.25,nan,18,81,174,495,1661,3736,18,79,171,469,1470,3100
176934,174.85849572,-1.89367869,0.02189,263.0,0.16666667,nan,28,89,203,524,1789,3774,28,89,199,451,1422,3206
69462,174.87367209,0.11655102,0.01964,253.0,0.5833333,nan,5,84,195,547,1972,4230,4,80,188,534,1752,3774
583443,174.88167563,-0.15989866,0.02845,124.0,0.6666667,nan,23,87,186,492,1727,4139,23,87,183,481,1522,3801
609307,174.92471695,0.32271896,0.02694,46.5,0.16666667,0.5403743,18,70,139,367,1742,4096,17,50,88,234,1470,3476
176969,174.92810993,-1.85451453,0.02183,342.0,1.0833334,nan,34,91,203,502,1619,3502,29,70,108,293,1167,2985
534759,174.93605879,-1.02471637,0.02842,175.0,2.0833333,nan,5,39,107,368,1539,3466,1,24,56,223,1191,2981
176955,174.94288989,-1.87526458,0.05811,250.5,0.16666667,nan,28,104,214,544,1510,3447,26,79,151,350,1055,2908
534760,174.94844197,-0.84393942,0.05256,339.0,1.9166666,nan,6,53,110,242,1322,3115,1,28,66,161,1081,2470
53771,174.96145869,-0.41539941,0.02825,124.5,4.25,nan,22,76,171,466,1811,4021,22,76,171,464,1671,3627
534763,174.97633193,-0.9227117,0.0283,234.5,0.25,nan,16,46,89,322,1415,3332,0,0,23,179,1067,2661
396781,174.98272943,1.51206079,0.07579,161.5,0.16666667,0.5722583,0,0,3,167,1067,2601,0,0,3,167,1030,2310
