brickname,ra,dec,ra1,ra2,dec1,dec2
1383m002,138.375,-0.25,138.25,138.5,-0.375,-0.125
1383m005,138.375,-0.5,138.25,138.5,-0.625,-0.375
1383m007,138.375,-0.75,138.25,138.5,-0.875,-0.625
1383m010,138.375,-1,138.25,138.5,-1.125,-0.875
1383m012,138.375,-1.25,138.25,138.5,-1.375,-1.125
1383m015,138.375,-1.5,138.25,138.5,-1.625,-1.375
1383m017,138.375,-1.75,138.25,138.5,-1.875,-1.625
1383m020,138.375,-2,138.25,138.5,-2.125,-1.875
1383m022,138.375,-2.25,138.25,138.5,-2.375,-2.125
1383m025,138.375,-2.5,138.25,138.5,-2.625,-2.375
1383m027,138.375,-2.75,138.25,138.5,-2.875,-2.625
1383m030,138.375,-3,138.25,138.5,-3.125,-2.875
1383m032,138.31710709318497,-3.25,138.19193324061195,138.442280945758,-3.375,-3.125
1383m035,138.31710709318497,-3.5,138.19193324061195,138.442280945758,-3.625,-3.375
1383p000,138.375,0,138.25,138.5,-0.125,0.125
1383p002,138.375,0.25,138.25,138.5,0.125,0.375
1383p005,138.375,0.5,138.25,138.5,0.375,0.625
1383p007,138.375,0.75,138.25,138.5,0.625,0.875
1383p010,138.375,1,138.25,138.5,0.875,1.125
1383p012,138.375,1.25,138.25,138.5,1.125,1.375
1383p015,138.375,1.5,138.25,138.5,1.375,1.625
1383p017,138.375,1.75,138.25,138.5,1.625,1.875
1383p020,138.375,2,138.25,138.5,1.875,2.125
1383p022,138.375,2.25,138.25,138.5,2.125,2.375
1383p025,138.375,2.5,138.25,138.5,2.375,2.625
1383p027,138.375,2.75,138.25,138.5,2.625,2.875
1383p030,138.375,3,138.25,138.5,2.875,3.125
1383p032,138.31710709318497,3.25,138.19193324061195,138.442280945758,3.125,3.375
1383p035,138.31710709318497,3.5,138.19193324061195,138.442280945758,3.375,3.625
1385m032,138.56745479833103,-3.25,138.442280945758,138.69262865090406,-3.375,-3.125
1385m035,138.56745479833103,-3.5,138.442280945758,138.69262865090406,-3.625,-3.375
1385p032,138.56745479833103,3.25,138.442280945758,138.69262865090406,3.125,3.375
1385p035,138.56745479833103,3.5,138.442280945758,138.69262865090406,3.375,3.625
1386m002,138.625,-0.25,138.5,138.75,-0.375,-0.125
1386m005,138.625,-0.5,138.5,138.75,-0.625,-0.375
1386m007,138.625,-0.75,138.5,138.75,-0.875,-0.625
1386m010,138.625,-1,138.5,138.75,-1.125,-0.875
1386m012,138.625,-1.25,138.5,138.75,-1.375,-1.125
1386m015,138.625,-1.5,138.5,138.75,-1.625,-1.375
1386m017,138.625,-1.75,138.5,138.75,-1.875,-1.625
1386m020,138.625,-2,138.5,138.75,-2.125,-1.875
1386m022,138.625,-2.25,138.5,138.75,-2.375,-2.125
1386m025,138.625,-2.5,138.5,138.75,-2.625,-2.375
1386m027,138.625,-2.75,138.5,138.75,-2.875,-2.625
1386m030,138.625,-3,138.5,138.75,-3.125,-2.875
1386p000,138.625,0,138.5,138.75,-0.125,0.125
1386p002,138.625,0.25,138.5,138.75,0.125,0.375
1386p005,138.625,0.5,138.5,138.75,0.375,0.625
1386p007,138.625,0.75,138.5,138.75,0.625,0.875
1386p010,138.625,1,138.5,138.75,0.875,1.125
1386p012,138.625,1.25,138.5,138.75,1.125,1.375
1386p015,138.625,1.5,138.5,138.75,1.375,1.625
1386p017,138.625,1.75,138.5,138.75,1.625,1.875
1386p020,138.625,2,138.5,138.75,1.875,2.125
1386p022,138.625,2.25,138.5,138.75,2.125,2.375
1386p025,138.625,2.5,138.5,138.75,2.375,2.625
1386p027,138.625,2.75,138.5,138.75,2.625,2.875
1386p030,138.625,3,138.5,138.75,2.875,3.125
1388m002,138.875,-0.25,138.75,139,-0.375,-0.125
1388m005,138.875,-0.5,138.75,139,-0.625,-0.375
1388m007,138.875,-0.75,138.75,139,-0.875,-0.625
1388m010,138.875,-1,138.75,139,-1.125,-0.875
1388m012,138.875,-1.25,138.75,139,-1.375,-1.125
1388m015,138.875,-1.5,138.75,139,-1.625,-1.375
1388m017,138.875,-1.75,138.75,139,-1.875,-1.625
1388m020,138.875,-2,138.75,139,-2.125,-1.875
1388m022,138.875,-2.25,138.75,139,-2.375,-2.125
1388m025,138.875,-2.5,138.75,139,-2.625,-2.375
1388m027,138.875,-2.75,138.75,139,-2.875,-2.625
1388m030,138.875,-3,138.75,139,-3.125,-2.875
1388m032,138.81780250347705,-3.25,138.692628650904,138.94297635605005,-3.375,-3.125
1388m035,138.81780250347705,-3.5,138.692628650904,138.94297635605005,-3.625,-3.375
1388p000,138.875,0,138.75,139,-0.125,0.125
1388p002,138.875,0.25,138.75,139,0.125,0.375
1388p005,138.875,0.5,138.75,139,0.375,0.625
1388p007,138.875,0.75,138.75,139,0.625,0.875
1388p010,138.875,1,138.75,139,0.875,1.125
1388p012,138.875,1.25,138.75,139,1.125,1.375
1388p015,138.875,1.5,138.75,139,1.375,1.625
1388p017,138.875,1.75,138.75,139,1.625,1.875
1388p020,138.875,2,138.75,139,1.875,2.125
1388p022,138.875,2.25,138.75,139,2.125,2.375
1388p025,138.875,2.5,138.75,139,2.375,2.625
1388p027,138.875,2.75,138.75,139,2.625,2.875
1388p030,138.875,3,138.75,139,2.875,3.125
1388p032,138.81780250347705,3.25,138.692628650904,138.94297635605005,3.125,3.375
1388p035,138.81780250347705,3.5,138.692628650904,138.94297635605005,3.375,3.625
1390m032,139.06815020862308,-3.25,138.94297635605005,139.1933240611961,-3.375,-3.125
1390m035,139.06815020862308,-3.5,138.94297635605005,139.1933240611961,-3.625,-3.375
1390p032,139.06815020862308,3.25,138.94297635605005,139.1933240611961,3.125,3.375
1390p035,139.06815020862308,3.5,138.94297635605005,139.1933240611961,3.375,3.625
1391m002,139.125,-0.25,139,139.25,-0.375,-0.125
1391m005,139.125,-0.5,139,139.25,-0.625,-0.375
1391m007,139.125,-0.75,139,139.25,-0.875,-0.625
1391m010,139.125,-1,139,139.25,-1.125,-0.875
1391m012,139.125,-1.25,139,139.25,-1.375,-1.125
1391m015,139.125,-1.5,139,139.25,-1.625,-1.375
1391m017,139.125,-1.75,139,139.25,-1.875,-1.625
1391m020,139.125,-2,139,139.25,-2.125,-1.875
1391m022,139.125,-2.25,139,139.25,-2.375,-2.125
1391m025,139.125,-2.5,139,139.25,-2.625,-2.375
1391m027,139.125,-2.75,139,139.25,-2.875,-2.625
1391m030,139.125,-3,139,139.25,-3.125,-2.875
1391p000,139.125,0,139,139.25,-0.125,0.125
1391p002,139.125,0.25,139,139.25,0.125,0.375
1391p005,139.125,0.5,139,139.25,0.375,0.625
1391p007,139.125,0.75,139,139.25,0.625,0.875
1391p010,139.125,1,139,139.25,0.875,1.125
1391p012,139.125,1.25,139,139.25,1.125,1.375
1391p015,139.125,1.5,139,139.25,1.375,1.625
1391p017,139.125,1.75,139,139.25,1.625,1.875
1391p020,139.125,2,139,139.25,1.875,2.125
1391p022,139.125,2.25,139,139.25,2.125,2.375
1391p025,139.125,2.5,139,139.25,2.375,2.625
1391p027,139.125,2.75,139,139.25,2.625,2.875
1391p030,139.125,3,139,139.25,2.875,3.125
1393m002,139.375,-0.25,139.25,139.5,-0.375,-0.125
1393m005,139.375,-0.5,139.25,139.5,-0.625,-0.375
1393m007,139.375,-0.75,139.25,139.5,-0.875,-0.625
1393m010,139.375,-1,139.25,139.5,-1.125,-0.875
1393m012,139.375,-1.25,139.25,139.5,-1.375,-1.125
1393m015,139.375,-1.5,139.25,139.5,-1.625,-1.375
1393m017,139.375,-1.75,139.25,139.5,-1.875,-1.625
1393m020,139.375,-2,139.25,139.5,-2.125,-1.875
1393m022,139.375,-2.25,139.25,139.5,-2.375,-2.125
1393m025,139.375,-2.5,139.25,139.5,-2.625,-2.375
1393m027,139.375,-2.75,139.25,139.5,-2.875,-2.625
1393m030,139.375,-3,139.25,139.5,-3.125,-2.875
1393m032,139.31849791376914,-3.25,139.1933240611961,139.44367176634216,-3.375,-3.125
1393m035,139.31849791376914,-3.5,139.1933240611961,139.44367176634216,-3.625,-3.375
1393p000,139.375,0,139.25,139.5,-0.125,0.125
1393p002,139.375,0.25,139.25,139.5,0.125,0.375
1393p005,139.375,0.5,139.25,139.5,0.375,0.625
1393p007,139.375,0.75,139.25,139.5,0.625,0.875
1393p010,139.375,1,139.25,139.5,0.875,1.125
1393p012,139.375,1.25,139.25,139.5,1.125,1.375
1393p015,139.375,1.5,139.25,139.5,1.375,1.625
1393p017,139.375,1.75,139.25,139.5,1.625,1.875
1393p020,139.375,2,139.25,139.5,1.875,2.125
1393p022,139.375,2.25,139.25,139.5,2.125,2.375
1393p025,139.375,2.5,139.25,139.5,2.375,2.625
1393p027,139.375,2.75,139.25,139.5,2.625,2.875
1393p030,139.375,3,139.25,139.5,2.875,3.125
1393p032,139.31849791376914,3.25,139.1933240611961,139.44367176634216,3.125,3.375
1393p035,139.31849791376914,3.5,139.1933240611961,139.44367176634216,3.375,3.625
1395m032,139.56884561891516,-3.25,139.44367176634216,139.69401947148822,-3.375,-3.125
1395m035,139.56884561891516,-3.5,139.44367176634216,139.69401947148822,-3.625,-3.375
1395p032,139.56884561891516,3.25,139.44367176634216,139.69401947148822,3.125,3.375
1395p035,139.56884561891516,3.5,139.44367176634216,139.69401947148822,3.375,3.625
1396m002,139.625,-0.25,139.5,139.75,-0.375,-0.125
1396m005,139.625,-0.5,139.5,139.75,-0.625,-0.375
1396m007,139.625,-0.75,139.5,139.75,-0.875,-0.625
1396m010,139.625,-1,139.5,139.75,-1.125,-0.875
1396m012,139.625,-1.25,139.5,139.75,-1.375,-1.125
1396m015,139.625,-1.5,139.5,139.75,-1.625,-1.375
1396m017,139.625,-1.75,139.5,139.75,-1.875,-1.625
1396m020,139.625,-2,139.5,139.75,-2.125,-1.875
1396m022,139.625,-2.25,139.5,139.75,-2.375,-2.125
1396m025,139.625,-2.5,139.5,139.75,-2.625,-2.375
1396m027,139.625,-2.75,139.5,139.75,-2.875,-2.625
1396m030,139.625,-3,139.5,139.75,-3.125,-2.875
1396p000,139.625,0,139.5,139.75,-0.125,0.125
1396p002,139.625,0.25,139.5,139.75,0.125,0.375
1396p005,139.625,0.5,139.5,139.75,0.375,0.625
1396p007,139.625,0.75,139.5,139.75,0.625,0.875
1396p010,139.625,1,139.5,139.75,0.875,1.125
1396p012,139.625,1.25,139.5,139.75,1.125,1.375
1396p015,139.625,1.5,139.5,139.75,1.375,1.625
1396p017,139.625,1.75,139.5,139.75,1.625,1.875
1396p020,139.625,2,139.5,139.75,1.875,2.125
1396p022,139.625,2.25,139.5,139.75,2.125,2.375
1396p025,139.625,2.5,139.5,139.75,2.375,2.625
1396p027,139.625,2.75,139.5,139.75,2.625,2.875
1396p030,139.625,3,139.5,139.75,2.875,3.125
1398m002,139.875,-0.25,139.75,140,-0.375,-0.125
1398m005,139.875,-0.5,139.75,140,-0.625,-0.375
1398m007,139.875,-0.75,139.75,140,-0.875,-0.625
1398m010,139.875,-1,139.75,140,-1.125,-0.875
1398m012,139.875,-1.25,139.75,140,-1.375,-1.125
1398m015,139.875,-1.5,139.75,140,-1.625,-1.375
1398m017,139.875,-1.75,139.75,140,-1.875,-1.625
1398m020,139.875,-2,139.75,140,-2.125,-1.875
1398m022,139.875,-2.25,139.75,140,-2.375,-2.125
1398m025,139.875,-2.5,139.75,140,-2.625,-2.375
1398m027,139.875,-2.75,139.75,140,-2.875,-2.625
1398m030,139.875,-3,139.75,140,-3.125,-2.875
1398m032,139.8191933240612,-3.25,139.69401947148816,139.94436717663422,-3.375,-3.125
1398m035,139.8191933240612,-3.5,139.69401947148816,139.94436717663422,-3.625,-3.375
1398p000,139.875,0,139.75,140,-0.125,0.125
1398p002,139.875,0.25,139.75,140,0.125,0.375
1398p005,139.875,0.5,139.75,140,0.375,0.625
1398p007,139.875,0.75,139.75,140,0.625,0.875
1398p010,139.875,1,139.75,140,0.875,1.125
1398p012,139.875,1.25,139.75,140,1.125,1.375
1398p015,139.875,1.5,139.75,140,1.375,1.625
1398p017,139.875,1.75,139.75,140,1.625,1.875
1398p020,139.875,2,139.75,140,1.875,2.125
1398p022,139.875,2.25,139.75,140,2.125,2.375
1398p025,139.875,2.5,139.75,140,2.375,2.625
1398p027,139.875,2.75,139.75,140,2.625,2.875
1398p030,139.875,3,139.75,140,2.875,3.125
1398p032,139.8191933240612,3.25,139.69401947148816,139.94436717663422,3.125,3.375
1398p035,139.8191933240612,3.5,139.69401947148816,139.94436717663422,3.375,3.625
1400m032,140.06954102920724,-3.25,139.94436717663422,140.19471488178027,-3.375,-3.125
1400m035,140.06954102920724,-3.5,139.94436717663422,140.19471488178027,-3.625,-3.375
1400p032,140.06954102920724,3.25,139.94436717663422,140.19471488178027,3.125,3.375
1400p035,140.06954102920724,3.5,139.94436717663422,140.19471488178027,3.375,3.625
1401m002,140.125,-0.25,140,140.25,-0.375,-0.125
1401m005,140.125,-0.5,140,140.25,-0.625,-0.375
1401m007,140.125,-0.75,140,140.25,-0.875,-0.625
1401m010,140.125,-1,140,140.25,-1.125,-0.875
1401m012,140.125,-1.25,140,140.25,-1.375,-1.125
1401m015,140.125,-1.5,140,140.25,-1.625,-1.375
1401m017,140.125,-1.75,140,140.25,-1.875,-1.625
1401m020,140.125,-2,140,140.25,-2.125,-1.875
1401m022,140.125,-2.25,140,140.25,-2.375,-2.125
1401m025,140.125,-2.5,140,140.25,-2.625,-2.375
1401m027,140.125,-2.75,140,140.25,-2.875,-2.625
1401m030,140.125,-3,140,140.25,-3.125,-2.875
1401p000,140.125,0,140,140.25,-0.125,0.125
1401p002,140.125,0.25,140,140.25,0.125,0.375
1401p005,140.125,0.5,140,140.25,0.375,0.625
1401p007,140.125,0.75,140,140.25,0.625,0.875
1401p010,140.125,1,140,140.25,0.875,1.125
1401p012,140.125,1.25,140,140.25,1.125,1.375
1401p015,140.125,1.5,140,140.25,1.375,1.625
1401p017,140.125,1.75,140,140.25,1.625,1.875
1401p020,140.125,2,140,140.25,1.875,2.125
1401p022,140.125,2.25,140,140.25,2.125,2.375
1401p025,140.125,2.5,140,140.25,2.375,2.625
1401p027,140.125,2.75,140,140.25,2.625,2.875
1401p030,140.125,3,140,140.25,2.875,3.125
1403m002,140.375,-0.25,140.25,140.5,-0.375,-0.125
1403m005,140.375,-0.5,140.25,140.5,-0.625,-0.375
1403m007,140.375,-0.75,140.25,140.5,-0.875,-0.625
1403m010,140.375,-1,140.25,140.5,-1.125,-0.875
1403m012,140.375,-1.25,140.25,140.5,-1.375,-1.125
1403m015,140.375,-1.5,140.25,140.5,-1.625,-1.375
1403m017,140.375,-1.75,140.25,140.5,-1.875,-1.625
1403m020,140.375,-2,140.25,140.5,-2.125,-1.875
1403m022,140.375,-2.25,140.25,140.5,-2.375,-2.125
1403m025,140.375,-2.5,140.25,140.5,-2.625,-2.375
1403m027,140.375,-2.75,140.25,140.5,-2.875,-2.625
1403m030,140.375,-3,140.25,140.5,-3.125,-2.875
1403m032,140.31988873435327,-3.25,140.19471488178021,140.44506258692627,-3.375,-3.125
1403m035,140.31988873435327,-3.5,140.19471488178021,140.44506258692627,-3.625,-3.375
1403p000,140.375,0,140.25,140.5,-0.125,0.125
1403p002,140.375,0.25,140.25,140.5,0.125,0.375
1403p005,140.375,0.5,140.25,140.5,0.375,0.625
1403p007,140.375,0.75,140.25,140.5,0.625,0.875
1403p010,140.375,1,140.25,140.5,0.875,1.125
1403p012,140.375,1.25,140.25,140.5,1.125,1.375
1403p015,140.375,1.5,140.25,140.5,1.375,1.625
1403p017,140.375,1.75,140.25,140.5,1.625,1.875
1403p020,140.375,2,140.25,140.5,1.875,2.125
1403p022,140.375,2.25,140.25,140.5,2.125,2.375
1403p025,140.375,2.5,140.25,140.5,2.375,2.625
1403p027,140.375,2.75,140.25,140.5,2.625,2.875
1403p030,140.375,3,140.25,140.5,2.875,3.125
1403p032,140.31988873435327,3.25,140.19471488178021,140.44506258692627,3.125,3.375
1403p035,140.31988873435327,3.5,140.19471488178021,140.44506258692627,3.375,3.625
1405m032,140.5702364394993,-3.25,140.44506258692627,140.69541029207232,-3.375,-3.125
1405m035,140.5702364394993,-3.5,140.44506258692627,140.69541029207232,-3.625,-3.375
1405p032,140.5702364394993,3.25,140.44506258692627,140.69541029207232,3.125,3.375
1405p035,140.5702364394993,3.5,140.44506258692627,140.69541029207232,3.375,3.625
1406m002,140.625,-0.25,140.5,140.75,-0.375,-0.125
1406m005,140.625,-0.5,140.5,140.75,-0.625,-0.375
1406m007,140.625,-0.75,140.5,140.75,-0.875,-0.625
1406m010,140.625,-1,140.5,140.75,-1.125,-0.875
1406m012,140.625,-1.25,140.5,140.75,-1.375,-1.125
1406m015,140.625,-1.5,140.5,140.75,-1.625,-1.375
1406m017,140.625,-1.75,140.5,140.75,-1.875,-1.625
1406m020,140.625,-2,140.5,140.75,-2.125,-1.875
1406m022,140.625,-2.25,140.5,140.75,-2.375,-2.125
1406m025,140.625,-2.5,140.5,140.75,-2.625,-2.375
1406m027,140.625,-2.75,140.5,140.75,-2.875,-2.625
1406m030,140.625,-3,140.5,140.75,-3.125,-2.875
1406p000,140.625,0,140.5,140.75,-0.125,0.125
1406p002,140.625,0.25,140.5,140.75,0.125,0.375
1406p005,140.625,0.5,140.5,140.75,0.375,0.625
1406p007,140.625,0.75,140.5,140.75,0.625,0.875
1406p010,140.625,1,140.5,140.75,0.875,1.125
1406p012,140.625,1.25,140.5,140.75,1.125,1.375
1406p015,140.625,1.5,140.5,140.75,1.375,1.625
1406p017,140.625,1.75,140.5,140.75,1.625,1.875
1406p020,140.625,2,140.5,140.75,1.875,2.125
1406p022,140.625,2.25,140.5,140.75,2.125,2.375
1406p025,140.625,2.5,140.5,140.75,2.375,2.625
1406p027,140.625,2.75,140.5,140.75,2.625,2.875
1406p030,140.625,3,140.5,140.75,2.875,3.125
1408m002,140.875,-0.25,140.75,141,-0.375,-0.125
1408m005,140.875,-0.5,140.75,141,-0.625,-0.375
1408m007,140.875,-0.75,140.75,141,-0.875,-0.625
1408m010,140.875,-1,140.75,141,-1.125,-0.875
1408m012,140.875,-1.25,140.75,141,-1.375,-1.125
1408m015,140.875,-1.5,140.75,141,-1.625,-1.375
1408m017,140.875,-1.75,140.75,141,-1.875,-1.625
1408m020,140.875,-2,140.75,141,-2.125,-1.875
1408m022,140.875,-2.25,140.75,141,-2.375,-2.125
1408m025,140.875,-2.5,140.75,141,-2.625,-2.375
1408m027,140.875,-2.75,140.75,141,-2.875,-2.625
1408m030,140.875,-3,140.75,141,-3.125,-2.875
1408m032,140.82058414464535,-3.25,140.69541029207232,140.94575799721838,-3.375,-3.125
1408m035,140.82058414464535,-3.5,140.69541029207232,140.94575799721838,-3.625,-3.375
1408p000,140.875,0,140.75,141,-0.125,0.125
1408p002,140.875,0.25,140.75,141,0.125,0.375
1408p005,140.875,0.5,140.75,141,0.375,0.625
1408p007,140.875,0.75,140.75,141,0.625,0.875
1408p010,140.875,1,140.75,141,0.875,1.125
1408p012,140.875,1.25,140.75,141,1.125,1.375
1408p015,140.875,1.5,140.75,141,1.375,1.625
1408p017,140.875,1.75,140.75,141,1.625,1.875
1408p020,140.875,2,140.75,141,1.875,2.125
1408p022,140.875,2.25,140.75,141,2.125,2.375
1408p025,140.875,2.5,140.75,141,2.375,2.625
1408p027,140.875,2.75,140.75,141,2.625,2.875
1408p030,140.875,3,140.75,141,2.875,3.125
1408p032,140.82058414464535,3.25,140.69541029207232,140.94575799721838,3.125,3.375
1408p035,140.82058414464535,3.5,140.69541029207232,140.94575799721838,3.375,3.625
1410m032,141.07093184979138,-3.25,140.94575799721838,141.19610570236443,-3.375,-3.125
1410m035,141.07093184979138,-3.5,140.94575799721838,141.19610570236443,-3.625,-3.375
1410p032,141.07093184979138,3.25,140.94575799721838,141.19610570236443,3.125,3.375
1410p035,141.07093184979138,3.5,140.94575799721838,141.19610570236443,3.375,3.625
1411m002,141.125,-0.25,141,141.25,-0.375,-0.125
1411m005,141.125,-0.5,141,141.25,-0.625,-0.375
1411m007,141.125,-0.75,141,141.25,-0.875,-0.625
1411m010,141.125,-1,141,141.25,-1.125,-0.875
1411m012,141.125,-1.25,141,141.25,-1.375,-1.125
1411m015,141.125,-1.5,141,141.25,-1.625,-1.375
1411m017,141.125,-1.75,141,141.25,-1.875,-1.625
1411m020,141.125,-2,141,141.25,-2.125,-1.875
1411m022,141.125,-2.25,141,141.25,-2.375,-2.125
1411m025,141.125,-2.5,141,141.25,-2.625,-2.375
1411m027,141.125,-2.75,141,141.25,-2.875,-2.625
1411m030,141.125,-3,141,141.25,-3.125,-2.875
1411p000,141.125,0,141,141.25,-0.125,0.125
1411p002,141.125,0.25,141,141.25,0.125,0.375
1411p005,141.125,0.5,141,141.25,0.375,0.625
1411p007,141.125,0.75,141,141.25,0.625,0.875
1411p010,141.125,1,141,141.25,0.875,1.125
1411p012,141.125,1.25,141,141.25,1.125,1.375
1411p015,141.125,1.5,141,141.25,1.375,1.625
1411p017,141.125,1.75,141,141.25,1.625,1.875
1411p020,141.125,2,141,141.25,1.875,2.125
1411p022,141.125,2.25,141,141.25,2.125,2.375
1411p025,141.125,2.5,141,141.25,2.375,2.625
1411p027,141.125,2.75,141,141.25,2.625,2.875
1411p030,141.125,3,141,141.25,2.875,3.125
1413m002,141.375,-0.25,141.25,141.5,-0.375,-0.125
1413m005,141.375,-0.5,141.25,141.5,-0.625,-0.375
1413m007,141.375,-0.75,141.25,141.5,-0.875,-0.625
1413m010,141.375,-1,141.25,141.5,-1.125,-0.875
1413m012,141.375,-1.25,141.25,141.5,-1.375,-1.125
1413m015,141.375,-1.5,141.25,141.5,-1.625,-1.375
1413m017,141.375,-1.75,141.25,141.5,-1.875,-1.625
1413m020,141.375,-2,141.25,141.5,-2.125,-1.875
1413m022,141.375,-2.25,141.25,141.5,-2.375,-2.125
1413m025,141.375,-2.5,141.25,141.5,-2.625,-2.375
1413m027,141.375,-2.75,141.25,141.5,-2.875,-2.625
1413m030,141.375,-3,141.25,141.5,-3.125,-2.875
1413m032,141.3212795549374,-3.25,141.19610570236438,141.44645340751043,-3.375,-3.125
1413m035,141.3212795549374,-3.5,141.19610570236438,141.44645340751043,-3.625,-3.375
1413p000,141.375,0,141.25,141.5,-0.125,0.125
1413p002,141.375,0.25,141.25,141.5,0.125,0.375
1413p005,141.375,0.5,141.25,141.5,0.375,0.625
1413p007,141.375,0.75,141.25,141.5,0.625,0.875
1413p010,141.375,1,141.25,141.5,0.875,1.125
1413p012,141.375,1.25,141.25,141.5,1.125,1.375
1413p015,141.375,1.5,141.25,141.5,1.375,1.625
1413p017,141.375,1.75,141.25,141.5,1.625,1.875
1413p020,141.375,2,141.25,141.5,1.875,2.125
1413p022,141.375,2.25,141.25,141.5,2.125,2.375
1413p025,141.375,2.5,141.25,141.5,2.375,2.625
1413p027,141.375,2.75,141.25,141.5,2.625,2.875
1413p030,141.375,3,141.25,141.5,2.875,3.125
1413p032,141.3212795549374,3.25,141.19610570236438,141.44645340751043,3.125,3.375
1413p035,141.3212795549374,3.5,141.19610570236438,141.44645340751043,3.375,3.625
1415m032,141.57162726008346,-3.25,141.44645340751043,141.6968011126565,-3.375,-3.125
1415m035,141.57162726008346,-3.5,141.44645340751043,141.6968011126565,-3.625,-3.375
1415p032,141.57162726008346,3.25,141.44645340751043,141.6968011126565,3.125,3.375
1415p035,141.57162726008346,3.5,141.44645340751043,141.6968011126565,3.375,3.625
1416m002,141.625,-0.25,141.5,141.75,-0.375,-0.125
1416m005,141.625,-0.5,141.5,141.75,-0.625,-0.375
1416m007,141.625,-0.75,141.5,141.75,-0.875,-0.625
1416m010,141.625,-1,141.5,141.75,-1.125,-0.875
1416m012,141.625,-1.25,141.5,141.75,-1.375,-1.125
1416m015,141.625,-1.5,141.5,141.75,-1.625,-1.375
1416m017,141.625,-1.75,141.5,141.75,-1.875,-1.625
1416m020,141.625,-2,141.5,141.75,-2.125,-1.875
1416m022,141.625,-2.25,141.5,141.75,-2.375,-2.125
1416m025,141.625,-2.5,141.5,141.75,-2.625,-2.375
1416m027,141.625,-2.75,141.5,141.75,-2.875,-2.625
1416m030,141.625,-3,141.5,141.75,-3.125,-2.875
1416p000,141.625,0,141.5,141.75,-0.125,0.125
1416p002,141.625,0.25,141.5,141.75,0.125,0.375
1416p005,141.625,0.5,141.5,141.75,0.375,0.625
1416p007,141.625,0.75,141.5,141.75,0.625,0.875
1416p010,141.625,1,141.5,141.75,0.875,1.125
1416p012,141.625,1.25,141.5,141.75,1.125,1.375
1416p015,141.625,1.5,141.5,141.75,1.375,1.625
1416p017,141.625,1.75,141.5,141.75,1.625,1.875
1416p020,141.625,2,141.5,141.75,1.875,2.125
1416p022,141.625,2.25,141.5,141.75,2.125,2.375
1416p025,141.625,2.5,141.5,141.75,2.375,2.625
1416p027,141.625,2.75,141.5,141.75,2.625,2.875
1416p030,141.625,3,141.5,141.75,2.875,3.125
1418m002,141.875,-0.25,141.75,142,-0.375,-0.125
1418m005,141.875,-0.5,141.75,142,-0.625,-0.375
1418m007,141.875,-0.75,141.75,142,-0.875,-0.625
1418m010,141.875,-1,141.75,142,-1.125,-0.875
1418m012,141.875,-1.25,141.75,142,-1.375,-1.125
1418m015,141.875,-1.5,141.75,142,-1.625,-1.375
1418m017,141.875,-1.75,141.75,142,-1.875,-1.625
1418m020,141.875,-2,141.75,142,-2.125,-1.875
1418m022,141.875,-2.25,141.75,142,-2.375,-2.125
1418m025,141.875,-2.5,141.75,142,-2.625,-2.375
1418m027,141.875,-2.75,141.75,142,-2.875,-2.625
1418m030,141.875,-3,141.75,142,-3.125,-2.875
1418m032,141.8219749652295,-3.25,141.69680111265643,141.94714881780249,-3.375,-3.125
1418m035,141.8219749652295,-3.5,141.69680111265643,141.94714881780249,-3.625,-3.375
1418p000,141.875,0,141.75,142,-0.125,0.125
1418p002,141.875,0.25,141.75,142,0.125,0.375
1418p005,141.875,0.5,141.75,142,0.375,0.625
1418p007,141.875,0.75,141.75,142,0.625,0.875
1418p010,141.875,1,141.75,142,0.875,1.125
1418p012,141.875,1.25,141.75,142,1.125,1.375
1418p015,141.875,1.5,141.75,142,1.375,1.625
1418p017,141.875,1.75,141.75,142,1.625,1.875
1418p020,141.875,2,141.75,142,1.875,2.125
1418p022,141.875,2.25,141.75,142,2.125,2.375
1418p025,141.875,2.5,141.75,142,2.375,2.625
1418p027,141.875,2.75,141.75,142,2.625,2.875
1418p030,141.875,3,141.75,142,2.875,3.125
1418p032,141.8219749652295,3.25,141.69680111265643,141.94714881780249,3.125,3.375
1418p035,141.8219749652295,3.5,141.69680111265643,141.94714881780249,3.375,3.625
1731m002,173.125,-0.25,173,173.25,-0.375,-0.125
1731m005,173.125,-0.5,173,173.25,-0.625,-0.375
1731m007,173.125,-0.75,173,173.25,-0.875,-0.625
1731m010,173.125,-1,173,173.25,-1.125,-0.875
1731m012,173.125,-1.25,173,173.25,-1.375,-1.125
1731m015,173.125,-1.5,173,173.25,-1.625,-1.375
1731m017,173.125,-1.75,173,173.25,-1.875,-1.625
1731m020,173.125,-2,173,173.25,-2.125,-1.875
1731m022,173.125,-2.25,173,173.25,-2.375,-2.125
1731m025,173.125,-2.5,173,173.25,-2.625,-2.375
1731m027,173.125,-2.75,173,173.25,-2.875,-2.625
1731m030,173.125,-3,173,173.25,-3.125,-2.875
1731m032,173.115438108484,-3.25,172.99026425591092,173.24061196105708,-3.375,-3.125
1731m035,173.115438108484,-3.5,172.99026425591092,173.24061196105708,-3.625,-3.375
1731p000,173.125,0,173,173.25,-0.125,0.125
1731p002,173.125,0.25,173,173.25,0.125,0.375
1731p005,173.125,0.5,173,173.25,0.375,0.625
1731p007,173.125,0.75,173,173.25,0.625,0.875
