CATID,RA_OBJ,DEC_OBJ,RA_IFU,DEC_IFU,r_petro,z_spec,z_tonry,M_r,r_e,ellip,PA,Mstar,g_i,SURV_SAMI,BAD_CLASS
"622333",132.56179461,0.7598804,132.56179461,0.7598804,19.339,0.04261,0.04365,-17.62,3.86,0.2423,53.20999,9.03,0.87,8,0
"9067",184.84232311,0.74546904,184.84232311,0.74546904,17.432,0.03369,0.0349,-18.59,5.77,0.6775,142.01999,9.44,0.98,8,0
"47997",215.47349878,-0.73919219,215.47349878,-0.73919219,18.621,0.08414,0.08504,-19.82,6.13,0.7481,109.8,10.31,1.23,3,0
"216077",136.40507046,0.52199655,136.40507046,0.52199655,19.356,0.04228,0.04336,-17.15,2.11,0.5369,177.5,8.61,0.68,3,0
"535595",178.72494294,-0.96436106,178.72494294,-0.96436106,15.977,0.06388,0.06516,-21.45,5.99,0.2925,10.459991,10.39,0.79,3,0
"209899",135.59543758,0.03925573,135.59543758,0.03925573,17.793,0.04057,0.04164,-18.63,0.73,0.3131,102.33,8.91,0.32,3,0
"220437",181.59512158,1.47201838,181.59512158,1.47201838,15.654,0.07838,0.07966,-22.26,4.98,0.0507,158.01001,11.09,1.32,8,0
"54923",180.0116242,-0.40558745,180.0116242,-0.40558745,17.28,0.08,0.08129,-20.61,3.01,0.1531,103.899994,10.43,1.33,3,0
"371895",133.26857819,1.10447846,133.26857819,1.10447846,19.66,0.02995,0.03098,,0.46,0.4607,129.99,8.89,1.56,3,6
"214363",129.97057844,0.43242663,129.97057844,0.43242663,14.495,0.04213,0.04313,-22.0,6.67,0.3061,55.550003,10.99,1.24,8,0
"55160",180.63399907444443,-0.38941506,180.63455463,-0.38941506,18.368,0.02167,0.02322,-16.87,4.99,0.3837,103.729996,8.43,0.53,8,5
"77709",214.39423969,0.20876786,214.39423969,0.20876786,16.544,0.09703,0.09795,-21.91,2.26,0.6261,111.799995,10.9,1.31,4,0
"202360",129.3541012,-0.25781052,129.3541012,-0.25781052,15.4,0.03576,0.03675,-20.67,3.9,0.2662,104.909996,10.39,1.16,8,0
"16567",219.29695616,0.82900816,219.29695616,0.82900816,16.147,0.0782,0.07902,-21.75,2.83,0.2971,138.84999,10.82,1.24,3,0
"505832",221.94561766,-1.89598701,221.94561766,-1.89598701,15.762,0.05744,0.05821,-21.36,6.67,0.2854,101.24,10.49,0.97,8,0
"55771",183.4600113,-0.23988473,183.4600113,-0.23988473,16.3,0.0821,0.08337,-21.67,2.83,0.1523,61.09999,10.83,1.3,3,0
"372569",136.46463162,1.13053823,136.46463162,1.13053823,14.673,0.05222,0.05331,-22.41,5.24,0.0269,117.97,11.17,1.29,8,0
"15664",216.43710272,0.83592274,216.43710272,0.83592274,17.204,0.08448,0.08536,-20.91,0.84,0.3826,58.25,10.53,1.3,3,0
"511825",216.19106162,-1.28871916,216.19106162,-1.28871916,16.688,0.1035,0.1044,-21.84,2.09,0.4992,65.600006,10.93,1.36,4,0
"227264",212.82385184,1.27527329,212.82385184,1.27527329,14.481,0.02498,0.0259,-20.86,6.63,0.4433,83.01001,10.41,1.06,8,0
"319606",215.17960558,1.85041646,215.17960558,1.85041646,16.718,0.07876,0.07965,-21.22,1.98,0.4518,23.43,10.58,1.21,3,0
"372123",134.52059205,1.15374158,134.52059205,1.15374158,14.966,0.07119,0.07228,-22.9,7.06,0.0627,124.67,11.43,1.39,8,0
"227611",214.3066034,1.30190539,214.3066034,1.30190539,15.376,0.0557,0.05659,-21.76,3.65,0.4265,130.13,10.86,1.24,8,0
"238213",213.63225508,1.72964628,213.63225508,1.72964628,15.078,0.0536,0.05449,-22.16,8.47,0.2131,36.729996,11.04,1.25,8,0
"318846",212.72096466,1.90829137,212.72096466,1.90829137,16.978,0.07997,0.0809,-20.94,1.76,0.2732,1.7099991,10.46,1.19,3,0
"492884",218.72304598,-1.27229662,218.72304598,-1.27229662,18.312,0.05732,0.05814,-18.85,1.57,0.0461,76.22,9.47,0.93,3,0
"301191",132.68863707,1.3159844,132.68863707,1.3159844,15.074,0.04212,0.04315,-21.42,5.37,0.4454,61.76001,10.7,1.17,8,0
"250608",215.34262562,1.98316774,215.34262562,1.98316774,16.508,0.07677,0.07765,-21.3,1.15,0.4556,47.100006,10.41,0.93,3,1
"272190",178.24168855,1.2878002,178.24168855,1.2878002,15.853,0.08094,0.08224,-22.13,3.7,0.1251,97.149994,10.96,1.23,8,0
"746907",221.69081619,-0.0982809,221.69081619,-0.0982809,18.676,0.10066,0.10146,-22.92,1.25,0.4452,159.29001,11.3,1.29,4,3
"375790",130.70639344,1.35129557,130.70639344,1.35129557,16.275,0.07752,0.07856,-21.63,2.44,0.2301,14.649994,10.83,1.32,3,0
"388559",140.59181542,2.58717675,140.59181542,2.58717675,16.855,0.08679,0.08796,-21.29,2.36,0.3133,16.059998,10.61,1.22,3,3
"100105",185.61714209,0.88099946,185.61714209,0.88099946,16.145,0.09812,0.0994,-22.32,4.0,0.4302,7.3399963,11.07,1.32,4,0
"78492",217.44013497,0.15840783,217.44013497,0.15840783,17.654,0.08922,0.09008,-20.58,2.06,0.6134,127.71,10.44,1.37,3,0
"512552",219.24040527,-1.06678093,219.24040527,-1.06678093,16.669,0.07226,0.07308,-21.12,3.2,0.2659,83.610016,10.61,1.27,3,0
"231529",184.20819333,1.91207363,184.20819333,1.91207363,17.007,0.07689,0.07815,-21.06,1.54,0.4027,174.13,10.6,1.3,3,0
"138064",180.71172349,-1.78203252,180.71172349,-1.78203252,14.592,0.02041,0.02212,-20.48,7.84,0.0629,136.05,10.34,1.15,8,0
"594049",218.93554344,-0.01336915,218.93554344,-0.01336915,13.912,0.02947,0.03026,-22.26,28.64,0.3352,21.169998,11.07,1.18,8,0
"54500",178.29135629,-0.39899849,178.29135629,-0.39899849,16.09,0.08073,0.08203,-21.87,6.67,0.2365,7.2599945,10.93,1.32,8,0
"693423",219.47673565,-0.39748142,219.47673565,-0.39748142,18.15,0.00605,0.00725,,,,,8.53,0.57,8,3
"79811",223.15768967,0.11429525,223.15768967,0.11429525,19.072,0.04321,0.04394,-17.57,1.06,0.4881,136.75,8.87,0.82,3,0
"65075",221.54634854,-0.22294378,221.54634854,-0.22294378,11.654,0.00588,0.00698,-21.12,33.97,0.4077,67.0,10.57,1.08,8,4
"513108",221.71563103,-1.14686014,221.71563103,-1.14686014,17.013,0.04172,0.04248,-19.62,8.58,0.1383,144.93,9.64,0.73,8,0
"569463",219.20286248,-0.58050172,219.20286248,-0.58050172,15.888,0.08228,0.08311,-22.07,2.78,0.307,131.86,10.81,1.04,3,0
"63276",215.29853977,-0.37269961,215.29853977,-0.37269961,16.468,0.0532,0.05407,-20.58,3.97,0.423,164.76001,10.36,1.19,8,0
"215698",134.94340233,0.58295351,134.94340233,0.58295351,17.753,0.01117,0.01195,-15.75,4.32,0.6098,179.68,8.19,0.81,8,0
"238198",213.65671031,1.7385134,213.65671031,1.7385134,17.321,0.05526,0.05616,-20.45,1.38,0.4446,139.33,10.84,1.61,8,1
"560830",181.98781076,-0.60858018,181.98781076,-0.60858018,19.751,0.08124,0.08252,-19.63,0.42,0.0129,149.87,10.5,2.08,3,0
"383089",139.89451807,2.11439424,139.89451807,2.11439424,16.583,0.08672,0.08788,-21.49,2.32,0.1222,102.89,10.58,1.07,3,0
"138011",180.54265986,-1.79149902,180.54265986,-1.79149902,16.142,0.08124,0.08253,-21.8,4.0,0.3293,148.11,10.7,1.04,3,0
"227572",214.25273551,1.29564426,214.25273551,1.29564426,16.341,0.05633,0.05722,-20.75,4.75,0.6694,156.88,10.11,0.78,8,0
"63305",215.42310838,-0.33770681,215.42310838,-0.33770681,15.47,0.0519,0.05277,-21.45,2.71,0.5146,19.329987,10.74,1.23,8,0
"70018",177.99921209,0.16856481,177.99921209,0.16856481,16.738,0.07693,0.07822,-21.07,4.32,0.548,42.47,10.71,1.42,3,0
"210070",136.50002678,0.00903205,136.50002678,0.00903205,17.401,0.05886,0.05996,-19.8,1.03,0.0132,1.5799866,9.82,0.89,3,0
"229202",221.04611529,1.17220488,221.04611529,1.17220488,18.235,0.02743,0.02816,-17.49,1.52,0.4301,175.34,8.83,0.74,8,1
"544835",217.17253745,-0.95122958,217.17253745,-0.95122958,17.589,0.05471,0.05555,-19.44,1.82,0.4158,131.61,9.58,0.76,3,0
"387690",137.50022382,2.34665461,137.50022382,2.34665461,18.045,0.03907,0.04016,-18.22,2.4,0.183,177.51001,9.14,0.79,8,0
"396803",175.12830611,1.47171608,175.12830611,1.47171608,17.18,0.07429,0.07559,-20.64,4.99,0.8214,23.929993,10.43,1.29,3,0
"79836",223.40848826,0.02099328,223.40848826,0.02099328,17.285,0.04477,0.04549,-19.49,1.88,0.5778,20.830002,9.9,1.11,3,0
"618988",217.62064833,0.30644734,217.62064833,0.30644734,17.213,0.0559,0.05673,-19.88,1.62,0.352,38.0,10.04,1.15,8,0
"371972",133.68580408,0.97816839,133.68580408,0.97816839,16.191,0.10677,0.10788,-22.66,8.75,0.7816,80.72,11.1,1.15,4,0
"584990",180.78336964,-0.06731985,180.78336964,-0.06731985,16.981,0.0753,0.07658,-20.78,1.12,0.5925,146.37,10.34,1.12,3,0
"290226",185.26734402,1.74461688,185.26734402,1.74461688,15.727,0.07937,0.08062,-22.19,6.19,0.1716,1.2999878,10.85,1.03,3,0
"85205",181.45545795,0.54021916,181.45545795,0.54021916,16.581,0.04937,0.05061,-20.18,2.4,0.0206,25.020004,10.21,1.18,8,0
"559692",178.01735186,-0.42104552,178.01735186,-0.42104552,16.996,0.07697,0.07827,-20.83,2.21,0.5456,43.179993,10.51,1.32,3,0
"397294",177.65638896,1.50016775,177.65638896,1.50016775,16.393,0.0778,0.07909,-21.43,0.82,0.3916,65.06,10.5,0.98,3,0
"323242",131.00308945,1.67132815,131.00308945,1.67132815,16.28,0.02814,0.02911,-19.26,2.23,0.2335,66.46001,9.5,0.73,8,0
"487023",222.72904262,-1.65250591,222.72904262,-1.65250591,17.612,0.11221,0.113,-21.63,4.35,0.7877,128.09,11.1,1.77,4,1
"137322",178.03869376,-1.65793546,178.03869376,-1.65793546,16.21,0.08042,0.08172,-21.71,2.13,0.1315,172.04001,10.56,0.9,3,0
"136308",174.49562792,-1.69464069,174.49562792,-1.69464069,17.298,0.0788,0.08011,-20.67,1.93,0.4848,41.61,10.51,1.39,3,0
"376064",131.97469309,1.36283432,131.97469309,1.36283432,16.543,0.04534,0.04637,-20.11,2.09,0.2549,169.89001,9.79,0.69,3,0
"484774",212.48429385,-1.89843083,212.48429385,-1.89843083,17.677,0.09159,0.09255,-20.65,3.5,0.8249,162.81,10.45,1.32,3,0
"84588",178.76010139,0.57273265,178.76010139,0.57273265,16.907,0.079,0.08029,-21.01,2.28,0.4986,7.419998,10.62,1.35,3,0
"548918",129.66517172,-0.50415747,129.66517172,-0.50415747,16.293,0.10826,0.10932,-22.5,3.48,0.5282,162.43001,11.17,1.38,4,0
"419294",139.67800005,2.69147018,139.67800005,2.69147018,16.694,0.08578,0.08694,-21.4,2.12,0.5585,164.26999,10.7,1.28,3,0
"575532",140.35453114,-0.06211584,140.35453114,-0.06211584,16.027,0.08776,0.08894,-22.11,4.43,0.4508,13.279999,11.03,1.34,8,0
"378144",140.93147479,1.78014118,140.93147479,1.78014118,16.556,0.0574,0.05854,-20.59,2.34,0.4963,155.94,10.38,1.22,8,0
"319527",214.82346758,1.93148327,214.82346758,1.93148327,17.361,0.0843,0.0852,-20.7,1.33,0.77,154.62,10.39,1.24,3,0
"750255",217.19088273,0.70508057,217.19088273,0.70508057,18.53,0.10147,0.10235,-22.08,6.65,0.01,8.630005,11.02,1.37,4,0
"70802",181.52724765,0.08866597,181.52724765,0.08866597,14.922,0.06094,0.0622,-22.33,3.49,0.1826,151.16,11.1,1.27,8,0
"957641",222.43232265,-0.77755943,222.43232265,-0.77755943,19.844,0.07161,0.07237,-22.19,30.72,0.8935,105.65,10.53,0.61,3,1
"215051",132.6666115,0.56999879,132.6666115,0.56999879,16.788,0.04508,0.04612,-19.81,9.51,0.8585,91.8,9.64,0.65,3,0
"22070",175.65956299,1.12265905,175.65956299,1.12265905,16.705,0.04764,0.0489,-20.01,4.29,0.3536,168.18,9.66,0.57,3,0
"209613",134.11255631,0.19400178,134.11255631,0.19400178,18.136,0.05692,0.05799,-18.99,1.65,0.4748,28.259995,9.42,0.8,3,0
"55537",182.69403929,-0.41907645,182.69403929,-0.41907645,16.57,0.07864,0.07992,-21.32,4.68,0.5562,173.51001,10.54,1.08,3,0
"55684",183.11338995,-0.29713974,183.11338995,-0.29713974,16.922,0.03528,0.0365,-19.11,2.26,0.7128,19.600006,9.51,0.83,8,0
"568326",214.63130581,-0.48520338,214.63130581,-0.48520338,16.506,0.0512,0.05208,-20.49,5.2,0.2255,4.489998,9.88,0.61,3,0
"422464",130.92814509,2.58916639,130.92814509,2.58916639,18.443,0.02571,0.02658,-16.97,3.71,0.7328,42.229996,8.57,0.72,8,0
"585422",182.67624829,-0.15891999,182.67624829,-0.15891999,16.324,0.05034,0.05158,-20.52,3.87,0.5073,25.089996,10.02,0.77,8,0
"210964",140.62642756,0.14732646,140.62642756,0.14732646,17.655,0.02572,0.02676,-17.83,5.74,0.783,141.06,8.67,0.41,8,0
"49755",222.38983409,-0.78423529,222.38983409,-0.78423529,17.819,0.02736,0.02807,-17.59,2.45,0.3361,126.89,8.55,0.37,8,0
"618106",214.31336596,0.22075465,214.31336596,0.22075465,16.17,0.07737,0.07828,-21.63,4.29,0.3848,103.619995,10.6,0.98,3,0
"599705",132.48355372,0.28968174,132.48355372,0.28968174,17.764,0.05166,0.0527,-19.19,4.28,0.0558,85.67999,9.51,0.79,3,0
"504922",217.77785462,-1.94575806,217.77785462,-1.94575806,17.228,0.05296,0.0538,-19.7,4.2,0.7838,43.70999,10.02,1.19,8,0
"491958",214.08203421,-1.4216326,214.08203421,-1.4216326,17.185,0.03687,0.03775,-19.04,3.06,0.3246,133.88,8.9,0.09,3,0
"9163",185.14066079,0.78805793,185.14066079,0.78805793,14.426,0.00706,0.00926,-18.78,10.38,0.4474,110.63,9.22,0.59,8,0
"40453",181.28999469,-0.74758736,181.28999469,-0.74758736,16.66,0.03315,0.03438,-19.24,3.89,0.6114,52.729996,9.59,0.85,8,0
"609307",174.92471695,0.32271896,174.92471695,0.32271896,16.243,0.02694,0.02819,-19.3,5.72,0.6985,48.619995,9.78,1.04,8,0
"227318",213.06896214,1.21590523,213.06896214,1.21590523,16.477,0.08439,0.08532,-21.55,4.64,0.6472,68.04001,10.62,1.07,3,0
"323133",130.5238463,1.55214343,130.5238463,1.55214343,18.964,0.02526,0.02611,-16.77,1.6,0.5321,36.329987,8.87,1.07,8,0
"239478",217.76025815,1.49608078,217.76025815,1.49608078,18.356,0.03304,0.03385,-17.57,5.38,0.0933,79.58002,8.62,0.48,3,0
"56103",184.56434021,-0.36485024,184.56434021,-0.36485024,17.176,0.07916,0.08042,-20.74,3.08,0.7337,52.300003,10.47,1.3,3,0
"177816",178.16451369,-1.89590918,178.16451369,-1.89590918,18.331,0.03944,0.04069,-17.99,3.33,0.8273,23.100006,8.62,0.27,3,0
"585694",184.09470302,-0.13518803,184.09470302,-0.13518803,18.323,0.02476,0.02606,-16.99,1.65,0.4006,26.970001,8.56,0.68,8,0
"278702",133.34646647,0.83572799,133.34646647,0.83572799,18.743,0.02874,0.02976,-16.79,1.2,0.3256,176.70001,8.34,0.51,8,0
"272702",180.60461136,1.33955484,180.60461136,1.33955484,17.838,0.08167,0.08295,-20.84,3.06,0.7364,137.92,10.73,1.42,3,1
"485688",216.9634062,-1.74523516,216.9634062,-1.74523516,16.957,0.05303,0.05388,-20.04,4.3,0.7941,165.03,10.15,1.19,8,0
"99259",182.06867249,0.92959648,182.06867249,0.92959648,18.043,0.03556,0.03678,-18.44,6.23,0.6771,170.58,9.31,0.86,8,0
"204876",139.88435455,-0.41006993,139.88435455,-0.41006993,17.457,0.03869,0.03981,-18.85,8.04,0.8391,147.34,9.19,0.57,8,0
"106422",216.02913065,0.95049939,216.02913065,0.95049939,17.82,0.03869,0.03954,-18.4,4.52,0.0508,42.030006,8.99,0.54,3,0
"609433",175.6871286,0.28226324,175.6871286,0.28226324,16.838,0.01834,0.02028,-17.88,5.0,0.6044,88.53998,8.84,0.58,8,0
"599857",132.74865447,0.32537773,132.74865447,0.32537773,18.842,0.04066,0.0417,-17.43,2.46,0.6279,74.76001,8.84,0.84,3,0
"85919",184.56949029,0.55197079,184.56949029,0.55197079,17.775,0.02114,0.02274,-17.17,1.55,0.4327,90.11,8.58,0.61,8,0
"238164",213.44665007,1.74971467,213.44665007,1.74971467,16.73,0.02555,0.02644,-18.61,5.62,0.2355,68.58,8.99,0.42,8,0
"460380",211.95848878,-1.65315107,211.95848878,-1.65315107,16.488,0.05467,0.0556,-20.58,4.24,0.6767,160.20999,10.41,1.25,8,0
"463176",211.81053139,-1.19531811,211.81053139,-1.19531811,17.316,0.05448,0.05541,-19.71,6.15,0.5016,60.37999,9.87,0.99,3,0
"617782",213.20217681,0.36212151,213.20217681,0.36212151,19.715,0.05427,0.05518,-20.01,1.26,0.5556,145.48001,10.42,1.49,8,1
"492953",218.97555418,-1.27840075,218.97555418,-1.27840075,16.771,0.05617,0.05699,-20.27,2.74,0.3487,150.68,9.77,0.6,3,0
"599726",132.64242558,0.21456921,132.64242558,0.21456921,17.221,0.04147,0.04251,-19.27,3.32,0.6478,158.05,9.61,0.86,8,1
"574313",135.22169082,-0.05522798,135.22169082,-0.05522798,18.731,0.04196,0.04303,-17.69,2.06,0.5857,44.61,8.89,0.77,3,0
"377526",137.91215552,1.58830951,137.91215552,1.58830951,18.23,0.02651,0.02752,-17.25,3.37,0.1227,17.040009,8.42,0.38,8,1
"93172",219.35591482,0.42271802,219.35591482,0.42271802,16.785,0.1093,0.11014,-21.93,3.88,0.8084,6.399994,11.02,1.47,4,0
"508744",218.15460286,-1.52340631,218.15460286,-1.52340631,16.601,0.05253,0.05336,-20.53,5.58,0.7649,119.560005,10.4,1.22,8,1
"381208",131.68424238,1.8236545,131.68424238,1.8236545,18.558,0.05068,0.05171,-18.62,0.55,0.2012,121.57,9.58,1.2,3,0
"273577",184.17736587,1.40508812,184.17736587,1.40508812,18.103,0.02159,0.02313,-16.89,5.25,0.4564,18.699997,8.35,0.47,8,0
"48724",218.37600046,-0.81034133,218.37600046,-0.81034133,16.549,0.0557,0.05652,-20.51,2.25,0.1884,175.45999,10.18,1.0,8,0
"79771",222.86892118,0.08145201,222.86892118,0.08145201,18.451,0.04252,0.04325,-18.69,4.6,0.2966,39.22,9.02,0.43,8,0
"319057",213.44546689,1.93351859,213.44546689,1.93351859,16.177,0.05482,0.05572,-20.83,4.48,0.5774,81.34,10.14,0.78,8,0
"220217",180.79252859,1.58000323,180.79252859,1.58000323,16.703,0.07812,0.0794,-21.16,2.6,0.072,34.5,10.43,1.02,3,0
"137569",178.70712251,-1.6883044,178.70712251,-1.6883044,17.305,0.07813,0.07943,-20.84,6.07,0.8318,156.32,10.39,1.12,3,0
"544992",217.77265982,-0.94353049,217.77265982,-0.94353049,18.229,0.02563,0.02644,-16.97,5.31,0.2312,171.33,8.24,0.31,8,0
"521580",129.97683554,2.70936262,129.97683554,2.70936262,17.046,0.0497,0.0507,-19.83,5.48,0.2945,50.72,9.79,0.82,3,1
"8709",183.59341297,0.80672993,183.59341297,0.80672993,16.981,0.07469,0.07595,-20.77,1.87,0.4597,43.23001,10.33,1.06,3,0
"290396",185.8475545,1.81504596,185.8475545,1.81504596,16.907,0.00626,0.00842,-15.79,4.43,0.1887,11.369995,7.72,0.18,8,0
"537075",183.91953356,-0.974944,183.91953356,-0.974944,19.261,0.04003,0.04125,-17.08,2.7,0.6504,49.39,8.62,0.73,3,0
"208520",129.40911525,0.05066585,129.40911525,0.05066585,16.373,0.03464,0.03563,-19.64,6.24,0.1567,175.04,9.65,0.72,8,0
"198591",140.15618821,-0.67946043,140.15618821,-0.67946043,14.285,0.01164,0.01269,-19.49,10.21,0.3414,67.66,9.61,0.72,8,0
"288923",180.5841425,1.79801543,180.5841425,1.79801543,18.106,0.02041,0.0221,-16.79,2.52,0.1352,131.58,8.79,1.05,8,0
"574821",137.41787885,-0.10808891,137.41787885,-0.10808891,15.821,0.07037,0.0715,-21.83,6.58,0.0624,79.62999,10.54,0.8,3,0
"238395",214.24318993,1.64043038,214.24318993,1.64043038,15.027,0.02506,0.02595,-20.5,4.11,0.1814,74.869995,9.87,0.57,8,0
"598911",129.30130306,0.38743001,129.30130306,0.38743001,17.239,0.0417,0.04269,-19.24,7.51,0.2079,104.19,9.39,0.6,8,0
"78842",218.91953008,0.09830496,218.91953008,0.09830496,17.146,0.05684,0.05765,-19.96,4.24,0.2539,34.75,9.68,0.62,3,0
"623683",139.87725208,0.70465014,139.87725208,0.70465014,16.922,0.05668,0.05782,-20.15,2.26,0.0892,125.28,9.71,0.58,3,0
"371334",130.96179626,0.92628636,130.96179626,0.92628636,16.205,0.0729,0.07394,-21.5,2.73,0.3328,163.1,10.63,1.1,3,0
"380580",129.22755665,1.80147773,129.22755665,1.80147773,18.51,0.01357,0.01404,-16.39,3.1,0.4406,114.58,8.64,1.01,8,6
"47215",211.8917,-0.77649054,211.8917,-0.77649054,19.557,0.03503,0.03594,-17.27,1.52,0.3768,5.800003,9.49,1.49,8,1
"17414",223.4968141,0.83224383,223.4968141,0.83224383,16.499,0.04277,0.04349,-20.01,5.99,0.5688,130.06999,9.57,0.45,8,0
"380543",129.00793996,1.74921609,129.00793996,1.74921609,17.802,0.01366,0.01412,-16.17,2.7,0.486,24.610016,8.45,0.92,8,1
"228608",217.90958026,1.12386604,217.90958026,1.12386604,16.864,0.02999,0.0308,-18.81,3.69,0.7384,72.380005,9.73,1.22,8,0
"584311",179.00162951,-0.10368022,179.00162951,-0.10368022,16.367,0.06477,0.06605,-21.08,4.8,0.0447,52.569992,10.34,0.92,3,0
"561501",183.83779824,-0.52150525,183.83779824,-0.52150525,17.372,0.07524,0.0765,-20.45,4.11,0.7873,159.9,10.39,1.34,3,0
"231312",183.24516764,1.8898959,183.24516764,1.8898959,17.004,0.08098,0.08225,-20.97,4.31,0.8409,59.839996,10.39,1.07,3,0
"289095",181.11515232,1.74849349,181.11515232,1.74849349,16.987,0.02218,0.02367,-18.08,4.16,0.5162,112.24,9.24,0.99,8,0
"251455",218.72066076,1.87427215,218.72066076,1.87427215,18.187,0.03001,0.0308,-17.82,2.43,0.4064,136.73999,8.96,0.75,3,0
"296638",212.67445729,1.48051732,212.67445729,1.48051732,14.832,0.0258,0.0267,-20.53,6.83,0.6989,144.45,10.4,1.2,8,0
"85280",181.79707744,0.4326249,181.79707744,0.4326249,15.811,0.06425,0.06551,-21.62,5.26,0.5758,129.77,10.66,1.07,3,0
"567445",211.68883024,-0.59645122,211.68883024,-0.59645122,17.432,0.05281,0.05374,-19.53,1.8,0.7786,72.47,10.08,1.36,8,0
"534756",174.90444949,-1.04585843,174.90444949,-1.04585843,16.802,0.07617,0.07748,-21.02,3.77,0.2882,155.16,10.53,1.24,3,0
"609379",175.47493988,0.23599315,175.47493988,0.23599315,17.531,0.09193,0.09325,-20.88,8.37,0.8772,71.67999,10.39,1.14,3,0
"512279",218.33929677,-1.05121485,218.33929677,-1.05121485,17.494,0.02981,0.03062,-18.33,7.08,0.1829,148.86,9.0,0.57,3,0
"365395",140.56108234,2.66184108,140.56108234,2.66184108,17.435,0.08824,0.08941,-20.8,4.36,0.7236,140.2,10.5,1.32,3,0
"422359",130.55487715,2.62461209,130.55487715,2.62461209,16.466,0.05,0.05101,-20.31,2.47,0.4488,86.45999,10.07,0.94,8,0
"417363",130.1315353,2.18809923,130.1315353,2.18809923,16.89,0.05054,0.05155,-21.99,6.68,0.4314,160.98999,10.53,0.66,8,1
"85480",182.70926518,0.47082816,182.70926518,0.47082816,16.813,0.07835,0.07962,-21.01,3.45,0.3798,73.75,10.33,0.97,3,0
"85505",182.74171769,0.6039239,182.74171769,0.6039239,15.597,0.07787,0.07914,-22.29,6.87,0.639,51.90001,11.06,1.25,8,0
"493621",221.83560804,-1.30298865,221.83560804,-1.30298865,17.104,0.02948,0.03023,-18.51,5.24,0.2277,87.94,9.03,0.51,8,0
"376645",134.47149881,1.3922359,134.47149881,1.3922359,16.586,0.07089,0.07198,-21.06,1.95,0.546,19.669998,10.5,1.14,3,0
"372234",134.82155089,0.99223244,134.82155089,0.99223244,15.946,0.07166,0.07275,-22.06,6.66,0.6284,72.48999,11.37,1.7,8,1
"618220",214.73902522,0.36560737,214.73902522,0.36560737,15.631,0.05331,0.05419,-21.36,4.9,0.1714,169.20999,10.59,1.08,8,0
"546073",222.95165329,-0.96304993,222.95165329,-0.96304993,17.711,0.03494,0.03567,-18.32,2.09,0.1071,129.56999,9.06,0.66,8,0
"298227",219.03646497,1.38992367,219.03646497,1.38992367,16.955,0.08817,0.089,-21.16,3.19,0.3048,11.340004,10.46,1.05,3,0
"422559",131.53747249,2.61800478,131.53747249,2.61800478,19.672,0.02884,0.02984,-16.12,1.37,0.3015,150.15999,8.3,0.76,8,1
"504614",216.45713007,-1.96675038,216.45713007,-1.96675038,15.496,0.07391,0.07478,-22.2,4.4,0.2648,61.47,10.76,0.9,3,0
"14564",212.07522235,0.67222007,212.07522235,0.67222007,18.757,0.02523,0.02616,-16.51,1.02,0.137,56.29001,8.22,0.51,8,0
"543664",212.34728763,-0.87432691,212.34728763,-0.87432691,16.907,0.07177,0.07271,-20.75,4.87,0.6725,63.47,10.34,1.1,3,0
"600696",136.88448673,0.33136599,136.88448673,0.33136599,16.426,0.06996,0.07108,-21.13,5.99,0.1002,111.810005,10.34,0.91,3,0
"91996",214.47573372,0.46141521,214.47573372,0.46141521,16.494,0.05455,0.05544,-20.56,2.55,0.7676,98.42,10.46,1.34,8,0
"48049",215.6319114,-0.65529765,215.6319114,-0.65529765,16.064,0.05514,0.05601,-21.02,3.07,0.4523,79.29999,10.56,1.22,8,0
"386892",134.42888986,2.36160372,134.42888986,2.36160372,15.948,0.0538,0.05486,-21.3,5.06,0.7088,97.61,10.7,1.23,8,0
"319586",215.12840027,1.85604153,215.12840027,1.85604153,17.371,0.08446,0.08536,-20.66,2.46,0.596,111.22,10.35,1.19,3,1
"551672",140.97888792,-0.44919538,140.97888792,-0.44919538,18.375,0.02456,0.02558,-17.22,4.82,0.268,159.70001,8.48,0.46,8,0
"218717",139.99074404,0.84559286,139.99074404,0.84559286,17.456,0.01714,0.01808,-17.5,8.5,0.2437,71.51001,8.92,0.85,8,0
"517960",134.27689276,2.66458362,134.27689276,2.66458362,17.194,0.0133,0.01399,-16.87,8.81,0.3883,117.560005,8.3,0.4,8,0
"47464",213.10117512,-0.73201808,213.10117512,-0.73201808,17.361,0.05443,0.05534,-19.61,2.29,0.5919,171.73,9.5,0.58,3,0
"623366",138.54711076,0.8182101,138.54711076,0.8182101,15.917,0.05509,0.05621,-21.21,5.51,0.0579,136.04999,10.42,0.93,8,0
"297633",216.56453227,1.49149243,216.56453227,1.49149243,15.619,0.05503,0.05588,-21.41,5.69,0.2523,4.630005,10.43,0.85,8,0
"136688",175.91220384,-1.64694057,175.91220384,-1.64694057,15.562,0.04291,0.04418,-20.97,2.93,0.4082,172.97,10.47,1.09,8,0
"252285",223.09309178,1.89559188,223.09309178,1.89559188,17.464,0.02773,0.02842,-18.01,2.47,0.3504,69.40001,9.15,0.91,8,0
"30786",176.74627316,-1.09410565,176.74627316,-1.09410565,16.27,0.0477,0.04897,-20.44,4.51,0.7165,8.149994,10.35,1.22,8,0
"93414",220.16898055,0.54263866,220.16898055,0.54263866,18.613,0.03364,0.03441,-17.24,5.16,0.2932,124.16,8.65,0.65,3,0
