CUBEIDPUB,CUBEID,CATID,PA_STELKIN,PA_STELKIN_ERR,SIGMA_RE,SIGMA_RE_ERR,LAMBDAR_RE,LAMBDAR_RE_ERR,VSIGMA_RE,VSIGMA_RE_ERR,MEAN_K51_RE,APER_CORR_FLAG
"271538_A","271538_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","271538",348.5,29.916666,183.98088,1.6784745,0.04438694,0.008013738,0.048917513,0.007173366,0.7035951,0.0
"271562_A","271562_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","271562",6.5,29.83333,,,,,,,,
"271610_A","271610_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","271610",157.0,17.916664,60.11554,4.0598345,,,,,,0.0
"272190_A","272190_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","272190",78.5,4.9166665,187.20653,1.7855163,0.11858249,0.0074007125,0.12448056,0.006685429,0.11725594,0.0
"63210_A","63210_blue_red_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01","63210",10.0,2.1666667,111.24104,2.9472423,0.44604373,0.018868761,0.5365712,0.02598893,0.04039373,0.0
"63276_A","63276_blue_red_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01","63276",328.5,1.75,96.28105,1.607163,0.44501767,0.011072996,0.49241358,0.01427018,0.019327423,0.0
"63302_A","63302_blue_red_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01","63302",3.0,2.916666,112.3563,2.4483569,0.52877235,0.0146005675,0.68990225,0.023662357,0.026623221,0.0
"63305_A","63305_blue_red_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01","63305",198.5,0.5833333,197.64445,1.3224874,0.3694948,0.0048429566,0.42905694,0.0055028326,0.029304583,0.0
"63389_A","63389_blue_red_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01","63389",319.5,1.9166666,88.55557,2.2426765,0.5631472,0.017371424,0.750658,0.02947528,0.043748833,0.0
"63777_A","63777_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","63777",97.5,3.6666667,61.83147,1.9698856,0.40744564,0.017018143,0.49613455,0.020381613,0.09363842,1.0
"63779_A","63779_blue_red_10_Y14SAR4_P005_15T091_2014_07_17-2014_07_21","63779",,,,,,,,,,
"63779_B","63779_blue_red_7_Y14SAR4_P005_15T091_2016_03_03-2016_03_13","63779",130.5,3.1666667,108.25976,3.252515,0.5699078,0.020975884,0.7490981,0.036442988,0.073118776,0.0
"63780_A","63780_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","63780",140.0,1.6666666,102.11725,1.7163231,0.2554431,0.013584855,0.28433844,0.013305364,0.033106193,0.0
"63855_A","63855_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","63855",345.5,29.83333,47.885757,5.0910454,,,,,,
"63997_A","63997_blue_red_7_Y14SAR3_P002_15T077_2016_04_04-2016_04_12","63997",57.5,1.1666666,161.43585,2.468602,0.5369739,0.009873959,0.60701066,0.013516609,0.043653186,0.0
"64087_A","64087_blue_red_10_Y13SAR1_P015_15T023_2013_04_12-2013_04_16","64087",31.0,1.9166666,106.65813,2.4127176,0.5311103,0.015280184,0.6838376,0.025291635,0.010026474,0.0
"64553_A","64553_blue_red_6_Y17SAR3_P001_15T124_2018_04_09-2018_04_19","64553",139.0,1.0,,,0.5098106,0.0075161285,0.5938673,0.008574929,,1.0
"64646_A","64646_blue_red_6_Y17SAR3_P001_15T124_2018_04_09-2018_04_19","64646",63.0,1.0,,,0.39204922,0.0051056016,0.44399136,0.0057165334,0.021461802,1.0
"64758_A","64758_blue_red_6_Y17SAR3_P001_15T124_2018_04_09-2018_04_19","64758",,,,,,,,,,
"65237_A","65237_blue_red_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05","65237",254.5,29.916666,70.03513,9.596371,,,,,,
"65278_A","65278_blue_red_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17","65278",77.0,29.83333,72.457115,8.174033,,,,,,
"65355_A","65355_blue_red_7_Y14SAR2_P002_15T062_2017_02_27-2017_03_05","65355",171.5,17.749998,60.003777,5.115101,,,,,,
"65359_A","65359_blue_red_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05","65359",147.5,6.5833335,68.2511,3.7074752,0.5021362,0.04219717,0.62618834,0.05340304,0.056537107,1.0
"65384_A","65384_blue_red_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19","65384",208.0,2.3333333,107.63411,1.9199163,0.29654154,0.016639382,0.32727364,0.019252937,0.03017202,0.0
"550431_A","550431_blue_red_7_Y16SAR2_P002_09T118_2016_03_03-2016_03_13","550431",220.5,29.916666,,,,,,,,
"537399_A","537399_blue_red_7_Y15SAR3_P002_12T085_2015_04_14-2015_04_22","537399",176.5,7.1666656,76.64361,4.418826,0.34733146,0.036634818,0.43570024,0.04161518,,1.0
"537417_A","537417_blue_red_14_Y14SAR3_P004_12T055_2014_04_24-2014_05_04","537417",343.5,11.166664,44.112293,5.440273,,,,,,
"537417_B","537417_blue_red_7_Y14SAR3_P004_12T055_2014_04_24-2014_05_04","537417",,,,,,,,,,
"537417_C","537417_blue_red_7_Y14SAR3_P004_12T055_2016_04_04-2016_04_12","537417",,,,,,,,,,
"537417_D","537417_blue_red_7_Y16SAR4_P001_12T093_2017_04_19-2017_05_01","537417",,,,,,,,,,
"537426_A","537426_blue_red_7_Y16SAR4_P001_12T093_2017_04_19-2017_05_01","537426",268.0,0.5833333,140.37103,1.2646831,0.58528954,0.0039118417,0.7217199,0.006388178,0.02247539,0.0
"537467_A","537467_blue_red_7_Y16SAR4_P001_12T093_2017_04_19-2017_05_01","537467",,,,,,,,,,
"537476_A","537476_blue_red_7_Y16SAR4_P001_12T093_2017_04_19-2017_05_01","537476",68.0,29.916666,,,,,,,,
"543489_A","543489_blue_red_7_Y13SAR1_P002_15T006_2013_03_05-2013_03_17","543489",176.0,6.583332,153.26462,1.3987967,0.09984398,0.007792693,0.107893,0.0068576154,1.1391364,0.0
"543491_A","543491_blue_red_6_Y14SAR2_P004_15T064_2017_03_24-2017_04_02","543491",262.0,29.83333,56.920765,7.225246,,,,,,
"543494_A","543494_blue_red_6_Y14SAR2_P004_15T064_2017_03_24-2017_04_02","543494",336.5,6.4999995,74.56178,3.1701667,0.59241223,0.038390942,0.77330345,0.050902404,0.089501746,1.0
"543498_A","543498_blue_red_6_Y14SAR4_P004_15T090_2014_05_23-2014_06_01","543498",103.5,1.6666666,86.62116,2.5242574,0.49893948,0.013346452,0.59662926,0.018095665,0.04533885,0.0
"543499_A","543499_blue_red_7_Y13SAR1_P002_15T006_2013_03_05-2013_03_17","543499",233.5,3.4166667,66.05532,2.3226213,0.27651927,0.024836706,0.31777045,0.027508728,0.1477399,0.0
"543501_A","543501_blue_red_7_Y17SAR2_P004_15T121_2018_03_12-2018_03_22","543501",307.0,1.6666666,167.39307,1.8693324,0.39672107,0.010864904,0.47384912,0.013022758,0.029764378,0.0
"543531_A","543531_blue_red_6_Y14SAR2_P004_15T064_2017_03_24-2017_04_02","543531",23.5,4.6666665,142.36365,1.7979581,0.11800077,0.0108502135,0.13126269,0.010057588,0.093823254,0.0
"543536_A","543536_blue_red_7_Y13SAR1_P002_15T006_2013_03_05-2013_03_17","543536",92.0,6.5833335,167.73425,3.9033968,,,,,,
"543537_A","543537_blue_red_6_Y14SAR4_P004_15T090_2014_05_23-2014_06_01","543537",347.5,6.916666,,,0.09439396,0.0059630917,0.10200615,0.0053402158,,1.0
"543552_A","543552_blue_red_7_Y13SAR1_P002_15T006_2013_03_05-2013_03_17","543552",145.5,3.0833333,112.472305,2.4913447,0.3252447,0.020709205,0.37149465,0.023095237,0.020451691,0.0
"543553_A","543553_blue_red_7_Y17SAR2_P004_15T121_2018_03_12-2018_03_22","543553",61.5,2.3333333,99.30062,1.6275744,0.3146619,0.014039053,0.34078202,0.013985731,0.061144724,0.0
"543554_A","543554_blue_red_7_Y13SAR1_P002_15T006_2013_03_05-2013_03_17","543554",177.0,5.333332,84.31567,2.9382343,0.40608177,0.030182777,0.4338454,0.03834322,0.055204783,0.0
"543738_A","543738_blue_red_7_Y13SAR1_P002_15T006_2013_03_05-2013_03_17","543738",,,,,,,,,,
"543752_A","543752_blue_red_7_Y13SAR1_P009_15T013_2013_03_05-2013_03_17","543752",86.0,29.916666,,,,,,,,
"543763_A","543763_blue_red_7_Y13SAR1_P009_15T013_2013_03_05-2013_03_17","543763",66.0,29.916666,61.049976,6.4731345,,,,,,
"543769_A","543769_blue_red_7_Y13SAR1_P009_15T013_2013_03_05-2013_03_17","543769",326.0,19.83333,61.175808,6.603316,,,,,,
"543797_A","543797_blue_red_12_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","543797",214.5,2.6666667,125.8931,3.1969078,0.4420964,0.013304555,0.54489285,0.018363778,0.045793507,0.0
"543797_B","543797_blue_red_6_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","543797",,,,,,,,,,
"543797_C","543797_blue_red_6_Y14SAR3_P011_15T086_2017_04_19-2017_05_01","543797",,,,,,,,,,
"543812_A","543812_blue_red_7_Y13SAR1_P009_15T013_2013_03_05-2013_03_17","543812",29.0,8.666665,52.66531,4.1631627,,,,,,
"543859_A","543859_blue_red_7_Y13SAR1_P009_15T013_2013_03_05-2013_03_17","543859",337.0,0.75,157.72237,2.0543022,0.71034,0.005635424,1.1210828,0.016286023,0.013112478,1.0
"543860_B","543860_blue_red_6_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","543860",,,,,,,,,,
"543860_A","543860_blue_red_12_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","543860",328.0,6.9166665,43.81313,2.3881874,0.26752383,0.027195817,0.31874087,0.02478764,0.12049282,1.0
"543860_C","543860_blue_red_6_Y14SAR3_P011_15T086_2017_04_19-2017_05_01","543860",,,,,,,,,,
"543895_A","543895_blue_red_12_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","543895",208.5,7.9166665,74.78366,1.5305642,0.07222195,0.011294043,0.08835356,0.010019272,0.11191678,0.0
"543895_B","543895_blue_red_6_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","543895",,,,,,,,,,
"543895_C","543895_blue_red_6_Y14SAR3_P011_15T086_2017_04_19-2017_05_01","543895",,,,,,,,,,
"543998_A","543998_blue_red_7_Y14SAR3_P008_15T083_2016_05_02-2016_05_10","543998",274.5,0.5,,,0.74080133,0.004435668,1.1172646,0.008331688,,1.0
"544084_A","544084_blue_red_7_Y14SAR3_P008_15T083_2016_05_02-2016_05_10","544084",281.0,29.916666,,,,,,,,
"544749_A","544749_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","544749",115.0,0.5,237.92813,1.1010057,0.3935428,0.0024616509,0.44050822,0.0026619402,0.023907484,0.0
"544812_A","544812_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","544812",16.0,6.9999995,48.171272,3.7640615,,,,,,
"65395_A","65395_blue_red_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19","65395",209.5,6.0833335,114.95818,6.2266684,0.49821684,0.03482756,0.60787076,0.05024903,0.052077115,0.0
"65406_A","65406_blue_red_7_Y13SAR1_P008_15T016_2013_03_05-2013_03_17","65406",281.5,0.41666666,,,0.58760333,0.003810228,0.6632442,0.005604083,0.019891212,1.0
"65408_A","65408_blue_red_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19","65408",265.0,3.0,182.3932,1.1168879,0.114145614,0.004763926,0.1162792,0.0041970764,0.11113537,0.0
"65410_A","65410_blue_red_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17","65410",272.0,9.666667,88.86967,1.5993541,0.06945315,0.015023513,0.084893264,0.015391762,0.2678184,0.0
"69462_A","69462_blue_red_9_Y17SAR3_P003_12T104_2018_02_12-2018_02_19","69462",253.5,8.333333,44.152718,1.4857244,,,,,,
"69513_A","69513_blue_red_9_Y17SAR3_P003_12T104_2018_02_12-2018_02_19","69513",126.0,3.1666667,,,0.5885652,0.024526011,0.8665951,0.034875892,0.14635341,1.0
"69535_A","69535_blue_red_9_Y17SAR3_P003_12T104_2018_02_12-2018_02_19","69535",178.5,3.4999983,,,0.5568747,0.024074646,0.7320811,0.034532018,0.07094469,1.0
"69620_A","69620_blue_red_7_Y14SAR4_P005_12T067_2014_05_23-2014_06_01","69620",11.0,4.75,44.81725,1.4621625,0.21473715,0.015789017,0.24493183,0.01639922,0.1438152,0.0
"69653_A","69653_blue_red_7_Y14SAR4_P005_12T067_2014_05_23-2014_06_01","69653",343.0,8.166665,49.74048,5.385199,,,,,,
"69740_A","69740_blue_red_7_Y14SAR4_P005_12T067_2014_05_23-2014_06_01","69740",212.0,1.8333334,57.539764,1.279459,0.38464564,0.0091331,0.4378808,0.010565098,0.024714747,0.0
"69752_A","69752_blue_red_7_Y15SAR3_P006_12T098_2016_03_03-2016_03_13","69752",338.5,2.0,120.74703,2.171316,0.31254655,0.015921794,0.34386992,0.016662098,0.07462415,0.0
"69822_A","69822_blue_red_7_Y15SAR3_P006_12T098_2016_03_03-2016_03_13","69822",299.5,1.0833334,163.84386,2.9730952,0.5259072,0.011577651,0.62802637,0.016146246,0.060604505,0.0
"69844_A","69844_blue_red_7_Y15SAR3_P006_12T098_2016_03_03-2016_03_13","69844",56.0,29.916666,,,,,,,,
"69864_A","69864_blue_red_7_Y15SAR3_P006_12T098_2016_03_03-2016_03_13","69864",302.5,29.916666,44.81224,7.49307,,,,,,
"69986_A","69986_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","69986",326.5,1.4166666,142.78743,1.0218861,0.31028992,0.00560963,0.2939257,0.004970984,0.030479252,0.0
"70022_A","70022_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","70022",65.5,4.9166665,217.71552,1.8447427,0.11491027,0.008162749,0.12194894,0.0066480287,0.13933875,0.0
"70107_A","70107_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","70107",94.0,29.916666,,,,,,,,
"70114_A","70114_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","70114",179.0,5.3333306,,,,,,,,
"70403_A","70403_blue_red_7_Y17SAR3_P004_12T105_2018_02_12-2018_02_19","70403",92.0,0.9166667,121.68657,1.2256321,0.45662156,0.0074387104,0.51313406,0.009154295,0.043325085,0.0
"70532_A","70532_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","70532",137.0,1.3333334,97.374275,0.79415125,0.38304505,0.005389808,0.43327802,0.006289825,0.031758394,0.0
"70640_A","70640_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","70640",127.5,7.0,195.36157,2.6263666,0.16458656,0.011207238,0.17627503,0.009473882,0.101943515,1.0
"70670_A","70670_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","70670",268.5,29.83333,229.86823,2.6530254,0.075852126,0.0069958265,0.0796433,0.006095656,0.6943495,0.0
"70719_A","70719_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","70719",352.5,29.83333,,,,,,,,
"47152_A","47152_blue_red_7_Y17SAR2_P004_15T121_2018_03_12-2018_03_22","47152",148.5,29.83333,196.86418,2.0083797,0.054641627,0.00933603,0.06092714,0.008647645,0.5382215,0.0
"47224_A","47224_blue_red_6_Y14SAR2_P004_15T064_2017_03_24-2017_04_02","47224",85.0,12.5,51.972668,4.8104043,,,,,,
"47245_A","47245_blue_red_6_Y14SAR2_P004_15T064_2017_03_24-2017_04_02","47245",13.0,13.999997,60.031456,4.952203,0.43043283,0.052989393,0.5297172,0.06711043,0.072317176,0.0
"47254_A","47254_blue_red_7_Y17SAR2_P004_15T121_2018_03_12-2018_03_22","47254",171.0,1.1666666,195.2867,1.2542456,0.25765228,0.004590976,0.2599366,0.004357378,0.026891178,0.0
"47258_A","47258_blue_red_6_Y14SAR2_P004_15T064_2017_03_24-2017_04_02","47258",103.5,2.1666667,106.660706,2.2588937,0.4717514,0.016095985,0.5796439,0.023251623,0.04591164,0.0
"47286_A","47286_blue_red_7_Y13SAR1_P002_15T006_2013_03_05-2013_03_17","47286",330.5,29.916666,42.540806,7.9515586,,,,,,
"47293_A","47293_blue_red_7_Y17SAR2_P004_15T121_2018_03_12-2018_03_22","47293",356.0,1.6666651,123.23092,1.4926549,0.28809035,0.011995137,0.32847002,0.013049823,0.022340504,0.0
"47342_A","47342_blue_red_7_Y13SAR1_P009_15T013_2013_03_05-2013_03_17","47342",157.5,1.0833334,75.004105,1.335419,0.58420485,0.010018037,0.7923669,0.018807005,0.02599161,0.0
"47460_A","47460_blue_red_12_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","47460",88.5,1.0,,,0.7011734,0.007183907,1.0281492,0.012988535,0.04331418,1.0
"47460_C","47460_blue_red_6_Y14SAR3_P011_15T086_2017_04_19-2017_05_01","47460",,,,,,,,,,
"47460_B","47460_blue_red_6_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","47460",,,,,,,,,,
"47493_C","47493_blue_red_6_Y14SAR3_P011_15T086_2017_04_19-2017_05_01","47493",,,,,,,,,,
"47493_B","47493_blue_red_6_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","47493",,,,,,,,,,
"47493_A","47493_blue_red_12_Y14SAR3_P011_15T086_2016_05_02-2016_05_10","47493",43.5,3.5833333,49.590008,2.8806021,0.30031586,0.02230538,0.34942493,0.024431849,0.05951437,0.0
"47500_A","47500_blue_red_7_Y13SAR1_P009_15T013_2013_03_05-2013_03_17","47500",152.5,2.8333333,55.214375,1.8792847,0.36870432,0.019201424,0.42345002,0.023317182,0.03669753,0.0
"47535_A","47535_blue_red_7_Y13SAR1_P009_15T013_2013_03_05-2013_03_17","47535",34.5,29.916666,,,,,,,,
"47652_A","47652_blue_red_7_Y14SAR3_P008_15T083_2016_05_02-2016_05_10","47652",9.0,10.333332,41.023975,2.5996308,,,,,,
"47674_A","47674_blue_red_7_Y14SAR3_P008_15T083_2016_05_02-2016_05_10","47674",330.5,0.5,262.82553,1.0624273,0.3576023,0.0026819028,0.3965901,0.0028547663,0.009412639,0.0
"48016_A","48016_blue_red_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01","48016",24.0,1.9166666,122.80749,2.8042257,0.5544437,0.017718913,0.7812371,0.031857673,0.037050497,0.0
"48049_A","48049_blue_red_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01","48049",252.5,1.0833334,158.2272,1.4449772,0.3684853,0.0073997895,0.42612517,0.008720345,0.047990117,0.0
"48432_A","48432_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","48432",111.5,1.5833334,,,0.6698236,0.009874097,0.9578661,0.016983986,,1.0
"48470_A","48470_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","48470",61.0,2.6666667,160.61392,1.6742635,0.18561323,0.008208576,0.1996309,0.0075839018,0.07065496,0.0
"48506_A","48506_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","48506",343.5,3.5,123.09007,4.294134,0.558263,0.022862975,0.7423018,0.04068324,0.054647397,0.0
"48548_A","48548_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","48548",50.5,2.9166667,191.30531,2.367436,0.17017844,0.009591321,0.19168098,0.009130909,0.10347632,0.0
"48681_A","48681_blue_red_6_Y17SAR3_P005_15T128_2018_04_09-2018_04_19","48681",21.0,4.8333335,258.91483,2.5305045,0.07380778,0.008156302,0.08472769,0.008083261,0.11809039,0.0
"48740_A","48740_blue_red_6_Y17SAR3_P005_15T128_2018_04_09-2018_04_19","48740",186.0,3.3333333,87.804184,3.4869313,0.38718757,0.03205116,0.45189032,0.036942877,0.05614131,0.0
"48969_A","48969_blue_red_6_Y17SAR3_P001_15T124_2018_04_09-2018_04_19","48969",92.5,8.083333,55.929882,4.6419573,,,,,,
"49204_A","49204_blue_red_6_Y17SAR3_P001_15T124_2018_04_09-2018_04_19","49204",340.0,29.916666,,,,,,,,
"49670_C","49670_blue_red_7_Y17SAR2_P005_15T122_2018_05_07-2018_05_16","49670",,,,,,,,,,
"49670_A","49670_blue_red_16_Y17SAR2_P005_15T122_2018_03_12-2018_03_22","49670",,,,,,,,,,
"49670_B","49670_blue_red_9_Y17SAR2_P005_15T122_2018_03_12-2018_03_22","49670",,,,,,,,,,
"49677_C","49677_blue_red_7_Y17SAR2_P005_15T122_2018_05_07-2018_05_16","49677",,,,,,,,,,
"49677_A","49677_blue_red_16_Y17SAR2_P005_15T122_2018_03_12-2018_03_22","49677",229.5,19.083334,48.807697,6.151254,,,,,,
"49677_B","49677_blue_red_9_Y17SAR2_P005_15T122_2018_03_12-2018_03_22","49677",,,,,,,,,,
"49702_C","49702_blue_red_7_Y17SAR2_P005_15T122_2018_05_07-2018_05_16","49702",,,,,,,,,,
"49702_B","49702_blue_red_9_Y17SAR2_P005_15T122_2018_03_12-2018_03_22","49702",,,,,,,,,,
"49702_A","49702_blue_red_16_Y17SAR2_P005_15T122_2018_03_12-2018_03_22","49702",71.0,0.5833333,145.63416,2.500908,0.6561545,0.005317438,0.9284685,0.011371899,0.01643956,0.0
"49728_A","49728_blue_red_16_Y17SAR2_P005_15T122_2018_03_12-2018_03_22","49728",60.5,29.83333,55.927475,6.264299,,,,,,
"49728_C","49728_blue_red_7_Y17SAR2_P005_15T122_2018_05_07-2018_05_16","49728",,,,,,,,,,
"49728_B","49728_blue_red_9_Y17SAR2_P005_15T122_2018_03_12-2018_03_22","49728",,,,,,,,,,
"49730_A","49730_blue_red_7_Y14SAR2_P002_15T062_2017_02_27-2017_03_05","49730",319.0,14.083332,,,,,,,,
"49734_A","49734_blue_red_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05","49734",181.5,1.249999,154.98206,1.6619552,0.5287877,0.007852875,0.6860446,0.012004366,0.023538474,0.0
"49753_A","49753_blue_red_7_Y14SAR2_P002_15T062_2017_02_27-2017_03_05","49753",94.0,29.916666,45.631924,9.676615,,,,,,
"49755_A","49755_blue_red_7_Y14SAR2_P002_15T062_2017_02_27-2017_03_05","49755",196.5,29.916666,47.31146,6.900237,,,,,,
"49784_A","49784_blue_red_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05","49784",111.5,1.1666666,92.44567,1.0421879,0.2753606,0.010233514,0.31253776,0.011176149,0.047139138,0.0
"49840_A","49840_blue_red_7_Y14SAR2_P002_15T062_2017_02_27-2017_03_05","49840",166.5,17.833332,,,,,,,,
"49857_A","49857_blue_red_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17","49857",,,,,,,,,,
"53770_A","53770_blue_red_9_Y17SAR3_P003_12T104_2018_02_12-2018_02_19","53770",222.5,29.916666,41.608364,3.7457862,0.10145718,0.038554125,0.120383844,0.040473428,0.70226765,0.0
"53771_A","53771_blue_red_8_Y13SAR1_P015_12T014_2013_04_12-2013_04_16","53771",352.0,29.916666,42.02062,6.48179,,,,,,
"53809_A","53809_blue_red_8_Y13SAR1_P015_12T014_2013_04_12-2013_04_16","53809",11.5,6.416664,45.267815,2.9420748,,,,,,
"53977_A","53977_blue_red_7_Y14SAR4_P005_12T067_2014_05_23-2014_06_01","53977",6.0,1.8333334,66.60416,1.7124088,0.49810472,0.015262047,0.617046,0.021727268,0.0243042,0.0
"54102_A","54102_blue_red_7_Y15SAR3_P006_12T098_2016_03_03-2016_03_13","54102",298.5,5.5833335,,,,,,,,
"54198_A","54198_blue_red_7_Y15SAR3_P006_12T098_2016_03_03-2016_03_13","54198",123.5,1.9166666,,,0.6786872,0.01148928,1.0302342,0.022716502,,1.0
"54202_A","54202_blue_red_7_Y14SAR3_P006_12T057_2016_04_04-2016_04_12","54202",127.0,2.1666667,177.34062,1.4870949,0.1896914,0.0069502327,0.19446768,0.006473496,0.07012515,0.0
"54270_A","54270_blue_red_7_Y14SAR3_P006_12T057_2016_04_04-2016_04_12","54270",288.5,2.3333333,264.95786,2.47101,0.115601845,0.0067334985,0.12229089,0.0059696427,0.09033667,0.0
"54359_A","54359_blue_red_7_Y14SAR3_P006_12T057_2016_04_04-2016_04_12","54359",330.5,1.1666666,67.72206,1.3498194,0.5531541,0.011780341,0.7165194,0.019647738,0.040533084,0.0
"54375_A","54375_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","54375",327.5,5.0,,,0.3752829,0.01628771,0.37387308,0.016018553,0.1926488,1.0
"54382_A","54382_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","54382",,,,,,,,,,
"54455_A","54455_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","54455",149.0,29.916666,,,,,,,,
"54500_A","54500_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","54500",274.0,29.83333,191.56473,3.4076478,0.11745013,0.010719213,0.12855549,0.011020927,0.45725298,1.0
"54848_A","54848_blue_red_7_Y17SAR3_P004_12T105_2018_02_12-2018_02_19","54848",71.0,29.916666,,,,,,,,
"54850_A","54850_blue_red_7_Y17SAR3_P004_12T105_2018_02_12-2018_02_19","54850",325.0,11.416665,,,,,,,,
"54895_A","54895_blue_red_8_Y14SAR3_P008_12T059_2016_05_02-2016_05_10","54895",138.0,11.833333,,,0.69500357,0.037504338,1.0343202,0.06715851,,1.0
"54918_A","54918_blue_red_7_Y17SAR3_P004_12T105_2018_02_12-2018_02_19","54918",,,,,,,,,,
"54921_A","54921_blue_red_8_Y14SAR3_P008_12T059_2016_05_02-2016_05_10","54921",160.5,1.8333334,165.08867,2.3791785,0.34057269,0.011089696,0.3712613,0.011411518,0.05576563,0.0
"54938_A","54938_blue_red_8_Y14SAR3_P008_12T059_2016_05_02-2016_05_10","54938",26.0,29.916666,43.12761,6.0412207,,,,,,
"54957_A","54957_blue_red_7_Y17SAR3_P004_12T105_2018_02_12-2018_02_19","54957",2.0,1.0833316,141.49068,2.0984368,0.56941134,0.012457799,0.73549384,0.021645337,0.028108567,0.0
"55124_A","55124_blue_red_8_Y14SAR3_P008_12T059_2016_05_02-2016_05_10","55124",185.5,29.83333,50.84628,7.7775593,,,,,,
"55143_A","55143_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","55143",204.5,4.9166665,,,0.067241624,0.00230056,0.07511239,0.0018786753,,1.0
"55150_A","55150_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","55150",187.0,1.3333334,75.59611,1.5489995,0.5077296,0.011389183,0.6133451,0.01581273,0.058391456,0.0
"55160_A","55160_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","55160",,,,,,,,,,
"55227_A","55227_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","55227",,,,,,,,,,
"55245_A","55245_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","55245",,,,,,,,,,
"55287_A","55287_blue_red_7_Y14SAR3_P010_12T061_2016_05_02-2016_05_10","55287",73.0,29.916666,,,,,,,,
"55346_A","55346_blue_red_7_Y14SAR3_P010_12T061_2016_05_02-2016_05_10","55346",239.5,29.916666,48.870827,3.1298602,,,,,1.6723742,
"55367_A","55367_blue_red_7_Y14SAR3_P010_12T061_2016_05_02-2016_05_10","55367",310.5,29.916666,,,,,,,,
"55372_A","55372_blue_red_7_Y14SAR3_P010_12T061_2016_05_02-2016_05_10","55372",221.5,5.5,48.539448,2.6328642,,,,,,
"55537_A","55537_blue_red_11_Y15SAR4_P003_12T099_2015_05_14-2015_05_20","55537",178.5,1.3333323,126.08566,2.679125,0.623319,0.010776727,0.87127185,0.02231452,0.024971832,0.0
